"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006820","GO:0006820","anion transport","16/93","498/28814",5.60172128940782e-12,7.4136702858998e-09,5.77070612754717e-09,"Car4/Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Ttyh2/Slc39a8/Abcb1a/Slc16a9/Slc3a2/Slc1a1/Slc16a4/Slco1a4/Slco2b1",16
"GO:0015711","GO:0015711","organic anion transport","14/93","353/28814",8.2191466584255e-12,7.4136702858998e-09,5.77070612754717e-09,"Car4/Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Slc16a9/Slc3a2/Slc1a1/Slc16a4/Slco1a4/Slco2b1",14
"GO:0046942","GO:0046942","carboxylic acid transport","11/93","289/28814",2.51421479671301e-09,1.31432657159561e-06,1.02305499271125e-06,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc16a9/Slc3a2/Slc1a1/Slc16a4/Slco1a4/Slco2b1",11
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","8/93","111/28814",2.91424960442485e-09,1.31432657159561e-06,1.02305499271125e-06,"Slc40a1/Mt1/Tfrc/Mt2/Slc39a8/Slc31a1/Slc1a1/Slc39a10",8
"GO:0015849","GO:0015849","organic acid transport","11/93","321/28814",7.48283135517895e-09,2.33558998657473e-06,1.81799337267516e-06,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc3a2/Slc1a1/Slco1a4/Slco2b1/Rbp1",11
"GO:0009991","GO:0009991","response to extracellular stimulus","12/93","406/28814",7.76803764936162e-09,2.33558998657473e-06,1.81799337267516e-06,"Slc16a1/Slc38a3/Rnase4/Gatm/Tfrc/Itga6/Cdkn2b/Pomc/Alad/Ncoa1/Rbp1/Rasal2",12
"GO:0055076","GO:0055076","transition metal ion homeostasis","8/93","138/28814",1.63130649632534e-08,3.46045253444605e-06,2.69357199261934e-06,"Slc40a1/Mt1/Tfrc/Mt2/Slc39a8/Slc31a1/Slc1a1/Slc39a10",8
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","8/93","138/28814",1.63130649632534e-08,3.46045253444605e-06,2.69357199261934e-06,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc3a2/Slc1a1",8
"GO:1903825","GO:1903825","organic acid transmembrane transport","8/93","139/28814",1.72638984534448e-08,3.46045253444605e-06,2.69357199261934e-06,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc3a2/Slc1a1",8
"GO:0006882","GO:0006882","cellular zinc ion homeostasis","5/93","28/28814",2.91136164573266e-08,5.25209640890172e-06,4.08816466884987e-06,"Mt1/Mt2/Slc39a8/Slc1a1/Slc39a10",5
"GO:0055069","GO:0055069","zinc ion homeostasis","5/93","29/28814",3.50894951542071e-08,5.75467720528997e-06,4.47936713260405e-06,"Mt1/Mt2/Slc39a8/Slc1a1/Slc39a10",5
"GO:0015807","GO:0015807","L-amino acid transport","6/93","62/28814",5.10190813682082e-08,7.66986856568729e-06,5.9701275916833e-06,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2/Slc1a1",6
"GO:0000041","GO:0000041","transition metal ion transport","7/93","109/28814",6.61314088294332e-08,9.17700473294596e-06,7.14326310756793e-06,"Slc40a1/Tfrc/Slc39a8/Myo1b/Slc31a1/Slc1a1/Slc39a10",7
"GO:0007584","GO:0007584","response to nutrient","6/93","68/28814",8.9438053923578e-08,1.15247320912953e-05,8.97070405519197e-06,"Slc16a1/Gatm/Cdkn2b/Alad/Ncoa1/Rbp1",6
"GO:0098656","GO:0098656","anion transmembrane transport","8/93","202/28814",3.10564381283115e-07,3.7350542922316e-05,2.90731848864334e-05,"Slc16a1/Slc7a5/Slc38a5/Slc7a1/Slc39a8/Abcb1a/Slc3a2/Slc1a1",8
"GO:0031667","GO:0031667","response to nutrient levels","10/93","373/28814",3.64837100840908e-07,4.11353831198123e-05,3.20192560869586e-05,"Slc16a1/Slc38a3/Rnase4/Gatm/Cdkn2b/Pomc/Alad/Ncoa1/Rbp1/Rasal2",10
"GO:0015804","GO:0015804","neutral amino acid transport","5/93","46/28814",3.87876806879095e-07,4.11605740946993e-05,3.20388644196107e-05,"Slc7a5/Slc38a5/Slc38a3/Slc3a2/Slc1a1",5
"GO:0010038","GO:0010038","response to metal ion","9/93","295/28814",4.96026153219291e-07,4.97128433559778e-05,3.86958414265809e-05,"Slc40a1/Mt1/Gatm/Tfrc/Mt2/Fn1/Jund/Slc1a1/Alad",9
"GO:0003333","GO:0003333","amino acid transmembrane transport","6/93","96/28814",7.0459042727727e-07,6.68990068846419e-05,5.20733313012675e-05,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2/Slc1a1",6
"GO:0071248","GO:0071248","cellular response to metal ion","7/93","169/28814",1.30706599380628e-06,0.000117737837447362,9.16456267678733e-05,"Slc40a1/Mt1/Tfrc/Mt2/Fn1/Jund/Slc1a1",7
"GO:1902475","GO:1902475","L-alpha-amino acid transmembrane transport","5/93","59/28814",1.37056240930965e-06,0.000117737837447362,9.16456267678733e-05,"Slc7a5/Slc38a5/Slc7a1/Slc3a2/Slc1a1",5
"GO:0008347","GO:0008347","glial cell migration","5/93","64/28814",2.0609421798727e-06,0.000168997258749562,0.000131545304686612,"Apcdd1/Lrp8/Zmiz1/Fn1/Srgap2",5
"GO:0098739","GO:0098739","import across plasma membrane","7/93","191/28814",2.94957130347229e-06,0.000231348983976696,0.000180079090106729,"Slc7a5/Slc7a1/Slc39a8/Slc31a1/Slc3a2/Slc1a1/Slc39a10",7
"GO:0021799","GO:0021799","cerebral cortex radially oriented cell migration","4/93","38/28814",6.90054630825408e-06,0.000505944091906839,0.00039382040996833,"Lrp8/Zmiz1/Srgap2/Ccdc141",4
