"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009925","GO:0009925","basal plasma membrane","12/93","276/28739",1.01198608987612e-10,1.65965718739684e-08,1.09720597112885e-08,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2/Slco1a4/Slco2b1",12
"GO:0045178","GO:0045178","basal part of cell","12/93","301/28739",2.73845318122702e-10,2.24553160860616e-08,1.48452988245465e-08,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2/Slco1a4/Slco2b1",12
"GO:0016324","GO:0016324","apical plasma membrane","12/93","369/28739",2.75189437405228e-09,1.50436892448191e-07,9.94544282552229e-08,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Abcb1a/Fn1/Slc3a2/Slc1a1/Slco2b1",12
"GO:0045177","GO:0045177","apical part of cell","13/93","487/28739",6.13252245503959e-09,2.50176114650045e-07,1.65392424961198e-07,"Car4/Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Myo1b/Abcb1a/Fn1/Slc3a2/Slc1a1/Slco2b1",13
"GO:0016323","GO:0016323","basolateral plasma membrane","10/93","246/28739",7.62732056859892e-09,2.50176114650045e-07,1.65392424961198e-07,"Slc16a1/Slc7a5/Slc22a8/Slc40a1/Slc38a3/Slc7a1/Tfrc/Slc39a8/Itga6/Slc3a2",10
"GO:0070062","GO:0070062","extracellular exosome","5/93","104/28739",2.27363082381096e-05,0.000621459091841663,0.000410849078688648,"Car4/Tfrc/Tmem98/Fn1/Ahnak",5
"GO:0043034","GO:0043034","costamere","3/93","19/28739",3.06154547710288e-05,0.000717276368921246,0.000474194261867063,"Ahnak/Synm/Pgm5",3
"GO:1903561","GO:1903561","extracellular vesicle","5/93","116/28739",3.84619395808232e-05,0.000788469761406875,0.00052126049695063,"Car4/Tfrc/Tmem98/Fn1/Ahnak",5
"GO:0043230","GO:0043230","extracellular organelle","5/93","125/28739",5.49693742200773e-05,0.000901497737209268,0.000595983741543996,"Car4/Tfrc/Tmem98/Fn1/Ahnak",5
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","5/93","125/28739",5.49693742200773e-05,0.000901497737209268,0.000595983741543996,"Car4/Tfrc/Tmem98/Fn1/Ahnak",5
"GO:0042383","GO:0042383","sarcolemma","5/93","165/28739",0.000202998307136536,0.00302652021549018,0.00200084455837926,"Car4/Igf1r/Ahnak/Synm/Pgm5",5
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","5/93","177/28739",0.000280893846524711,0.00383888256917104,0.00253790054316186,"Hip1/Esyt2/Tiam1/Pgm5/Gng5",5
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","7/93","396/28739",0.000306483044421337,0.00386640148346917,0.00255609340691479,"Hmcn1/Itga6/Megf6/Vwf/Fn1/Sparcl1/Ctsc",7
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","4/93","105/28739",0.000382652799680498,0.00448250422482869,0.00296340138098431,"Hip1/Esyt2/Tiam1/Gng5",4
"GO:0098562","GO:0098562","cytoplasmic side of membrane","5/93","195/28739",0.000437871657942256,0.004787396793502,0.00316496707144227,"Hip1/Esyt2/Tiam1/Pgm5/Gng5",5
"GO:0005769","GO:0005769","early endosome","6/93","327/28739",0.000688743169905811,0.00705961749153456,0.0046671412171249,"Nrp1/Kdr/Tfrc/Myo1b/Slc1a1/Rhob",6
