"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","14/179","168/28275",3.99571082004571e-12,9.12064262364114e-10,6.84133713487272e-10,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc16a9/Slc3a2/Slc1a1/Slc16a4/Slco1a4/Slco2b1/Abcg2/Mfsd2a",14
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","14/179","169/28275",4.33284685208605e-12,9.12064262364114e-10,6.84133713487272e-10,"Slc16a1/Slc7a5/Slc38a5/Slc38a3/Slc7a1/Abcb1a/Slc16a9/Slc3a2/Slc1a1/Slc16a4/Slco1a4/Slco2b1/Abcg2/Mfsd2a",14
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","14/179","185/28275",1.4793421856643e-11,2.07601020054891e-09,1.55720230069927e-09,"Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Slc39a8/Slc3a2/Slc1a1/Slco1a4/Slco2b1/Abcg2/Slc52a2/Mfsd2a",14
"GO:0008509","GO:0008509","anion transmembrane transporter activity","15/179","313/28275",1.6710555926036e-09,1.75878601121529e-07,1.31925441521337e-07,"Slc16a1/Slc7a5/Slc38a5/Slc22a8/Slc38a3/Slc7a1/Ttyh2/Slc39a8/Slc3a2/Slc1a1/Slco1a4/Slco2b1/Abcg2/Slc52a2/Mfsd2a",15
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","6/179","37/28275",1.16901988334885e-07,9.84314741779731e-06,7.38328347378221e-06,"Slc40a1/Tfrc/Slc39a8/Slc31a1/Slc39a10/Slc39a1",6
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","7/179","63/28275",1.48662918483187e-07,1.04311814469036e-05,7.82436413069403e-06,"Slc16a1/Slc16a9/Slc16a4/Slco1a4/Slco2b1/Abcg2/Mfsd2a",7
"GO:0022804","GO:0022804","active transmembrane transporter activity","14/179","396/28275",2.59373432028285e-07,1.55994592691297e-05,1.17010570839828e-05,"Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc39a8/Abcb1a/Slc16a9/Slc1a1/Slc16a4/Slco1a4/Slco2b1/Abcg2/Uqcr11/Mfsd2a",14
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","11/179","242/28275",4.50536974607719e-07,2.34055869673612e-05,1.75563847736176e-05,"Slc16a1/Slc7a5/Slc22a8/Slc38a3/Slc39a8/Slc16a9/Slc1a1/Slc16a4/Slco1a4/Slco2b1/Mfsd2a",11
"GO:0030695","GO:0030695","GTPase regulator activity","14/179","422/28275",5.55952184497891e-07,2.34055869673612e-05,1.75563847736176e-05,"Net1/Nrp1/Tbc1d4/Tiam1/Rgl1/Srgap2/Stard8/Agfg1/Sipa1/Mcf2l/Dock9/Jun/Arap3/Arhgap31",14
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","14/179","422/28275",5.55952184497891e-07,2.34055869673612e-05,1.75563847736176e-05,"Net1/Nrp1/Tbc1d4/Tiam1/Rgl1/Srgap2/Stard8/Agfg1/Sipa1/Mcf2l/Dock9/Jun/Arap3/Arhgap31",14
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","6/179","62/28275",2.711645838201e-06,0.000103782081625693,7.78462920057704e-05,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2/Slc1a1",6
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","5/179","41/28275",5.98990515608826e-06,0.000210145839226097,0.000157629083054954,"Slc7a5/Slc38a5/Slc38a3/Slc3a2/Slc1a1",5
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","6/179","85/28275",1.71052593296075e-05,0.000553947244443443,0.00041551237237913,"Slc7a5/Slc38a5/Slc38a3/Slc7a1/Slc3a2/Slc1a1",6
"GO:0005096","GO:0005096","GTPase activator activity","9/179","236/28275",2.09311501889655e-05,0.00062942958782532,0.000472131207269899,"Nrp1/Tbc1d4/Srgap2/Stard8/Agfg1/Sipa1/Jun/Arap3/Arhgap31",9
"GO:1901474","GO:1901474","azole transmembrane transporter activity","3/179","10/28275",2.89768323376529e-05,0.000813283094276792,0.000610038575529535,"Slc38a5/Slc38a3/Slc7a1",3
"GO:0015293","GO:0015293","symporter activity","7/179","143/28275",3.67269181999602e-05,0.000966377035136452,0.00072487338552553,"Slc16a1/Slc38a3/Slc39a8/Slc16a9/Slc1a1/Slc16a4/Mfsd2a",7
"GO:0022858","GO:0022858","alanine transmembrane transporter activity","3/179","12/28275",5.2630342234276e-05,0.00130337494591942,0.000977653416116581,"Slc38a5/Slc38a3/Slc3a2",3
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","3/179","15/28275",0.000107335919285157,0.00251046788994729,0.00188308630324838,"Slc38a5/Slc38a3/Slc7a1",3
"GO:0038024","GO:0038024","cargo receptor activity","5/179","78/28275",0.000139679296000191,0.00309499913768844,0.00232153954570954,"Tfrc/Lrp8/Scarb1/Scarf1/Dab2",5
"GO:0030331","GO:0030331","nuclear estrogen receptor binding","4/179","50/28275",0.000284947542439513,0.00599814576835174,0.00449917172272915,"Ncoa1/Lef1/Foxl2/Wipi1",4
"GO:0035091","GO:0035091","phosphatidylinositol binding","8/179","270/28275",0.000341137974832663,0.00672896325668519,0.0050473533616841,"Hip1/Myo1b/Esyt2/Mcf2l/Tecpr1/Dab2/Arap3/Wipi1",8
"GO:0005385","GO:0005385","zinc ion transmembrane transporter activity","3/179","22/28275",0.000351632284197326,0.00672896325668519,0.0050473533616841,"Slc39a8/Slc39a10/Slc39a1",3
"GO:0019838","GO:0019838","growth factor binding","6/179","153/28275",0.000442801944409938,0.00798817570649646,0.00599188076496797,"Nrp1/Kdr/Igf1r/Itga6/S100a13/Flt4",6
"GO:0005178","GO:0005178","integrin binding","6/179","155/28275",0.000474357227226631,0.00798817570649646,0.00599188076496797,"Kdr/Itga6/Vwf/Fn1/Pxn/Dab2",6
"GO:0016922","GO:0016922","nuclear receptor binding","6/179","155/28275",0.000474357227226631,0.00798817570649646,0.00599188076496797,"Jund/Ncoa1/Hif1a/Lef1/Foxl2/Wipi1",6
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","4/179","58/28275",0.000504687861417445,0.00817206114064401,0.00612981208199326,"Nrp1/Kdr/Igf1r/Flt4",4
"GO:0003924","GO:0003924","GTPase activity","8/179","294/28275",0.000598482871403495,0.00933189958743969,0.00699979966553796,"Arl4a/Srpr/Rhob/Dnm3/Gch1/Rhobtb1/Arf6/Gnb4",8
