"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Nos2",6.28027881061635,-7.14188022388366,1.24064093339805,-5.75660534133952,8.58222350752307e-09,9.62153077428412e-05
"2","Tbc1d22a",4.58746913167767,-6.51356240907266,1.34168591163754,-4.8547594877275,1.20532943656909e-06,0.00675647415668806
"3","Pwwp2b",5.87591249092329,-4.7671677898852,1.11471398841016,-4.27658380485948,1.89783132871191e-05,0.070921956753964
"4","Ptpn21",4.88279785946493,-5.16209672686946,1.2407898639183,-4.16033115435681,3.17786480575505e-05,0.0890676058432995
"5","Pik3r4",3.82809832610723,-5.66746028898986,1.45887839586101,-3.88480650962344,0.000102411417077285,0.229626879370688
"6","Man2b2",3.12760486323132,-5.45419484850837,1.50500939234463,-3.62402711654268,0.000290051175440091,0.54196062130981
"7","Lars2",6.07197278179663,-3.38713230606095,0.953157297705014,-3.55359216596924,0.000380008016156229,0.608609981303927
"8","Mdc1",5.74194218583669,-4.05279719878356,1.19419068330632,-3.39376052370691,0.000689399497526762,0.918528840174488
"9","A830080D01Rik",5.48510449500379,-3.99070314970899,1.18232895451763,-3.37529004467047,0.000737379320450486,0.918528840174488
"10","Sh3pxd2a",2.66316004027071,-5.83598758762753,1.80784251676929,-3.22815042432831,0.00124593437828549,0.996063541933261
"11","Pigl",2.79923200385555,-5.34539174827006,1.6878500214979,-3.16698265852213,0.00154029503329071,0.996063541933261
"12","Kctd12",5.6143396352169,-2.73431237787827,0.873279816331627,-3.13108390545914,0.00174162393252629,0.996063541933261
"13","Spata6",4.4945042064812,-3.41124231054679,1.09202019240294,-3.1237905070606,0.00178537522955,0.996063541933261
"14","Cpt1a",4.79210435162157,-3.02012834744021,0.994770747012195,-3.03600438242801,0.0023973587984982,0.996063541933261
"15","Col14a1",5.24272033107204,-5.63181364504921,1.87869208563594,-2.99773107477739,0.0027199757125236,0.996063541933261
"16","Zbtb2",5.2498848145171,-3.33317160208521,1.11348056854088,-2.99347083034691,0.00275823873500882,0.996063541933261
"17","Dusp2",2.25554180362735,-5.63021368003664,1.90933421725953,-2.94878373264461,0.0031902714132985,0.996063541933261
"18","Rhbdf1",3.63984558838621,-3.7246575618259,1.28195270119158,-2.90545630768111,0.00366718044490175,0.996063541933261
"19","Plcg1",7.06717168346594,-2.0298793220011,0.699394997493521,-2.9023360608465,0.00370390966144104,0.996063541933261
"20","Zdhhc24",3.1851306913679,-4.32918644766812,1.49173855306902,-2.90210803948285,0.00370660682739216,0.996063541933261
"21","Heg1",6.96164691692611,-2.05307965672516,0.709010760918908,-2.89569604566267,0.00378318639915085,0.996063541933261
"22","Fem1a",3.13536023040628,-4.2483811832124,1.48036168561821,-2.8698264920564,0.00410697091859104,0.996063541933261
"23","Eml4",3.50240084442323,-4.57513409658031,1.59435913809672,-2.86957561019905,0.00411023049987089,0.996063541933261
"24","Trim16",5.69832226923036,-2.29348895551832,0.800818620669617,-2.86393060341252,0.0041841966991625,0.996063541933261
"25","Trim34a",8.34239716158067,-2.13570371594422,0.751340640704474,-2.84252388362985,0.00447578774566372,0.996063541933261
"26","Rapgef6",3.17702725153184,-3.85037782735028,1.35692881676073,-2.8375680284703,0.00454586584879167,0.996063541933261
"27","Agpat2",3.74390893045217,-3.69173382942604,1.30552450728998,-2.82777826751747,0.00468722593420912,0.996063541933261
"28","Lnx2",5.03207525608137,-2.71070656119229,0.959155252962782,-2.82613951476474,0.0047112739348208,0.996063541933261
"29","Lrp5",4.81652171605984,-2.84020798774591,1.00834494136894,-2.81670276829081,0.00485194051230912,0.996063541933261
"30","Xrcc4",3.14083301172366,-4.05038763286531,1.44672060332872,-2.79970273703566,0.0051149685609962,0.996063541933261
"31","Tmem164",2.51853103586358,-4.8336069353126,1.72694327306925,-2.79893787519838,0.00512710007995602,0.996063541933261
"32","Afg3l1",2.28289347363864,-5.59207386307418,2.02253160908364,-2.76488824103362,0.00569423009870696,0.996063541933261
"33","Cpped1",3.65057918450194,-3.4847271307759,1.27437277075276,-2.73446452305907,0.00624818281004864,0.996063541933261
"34","Utp14b",2.86436389286764,-4.36914643346174,1.62049842043319,-2.6961744475467,0.00701409227083945,0.996063541933261
"35","Polg2",3.77325440341996,-3.71230322209055,1.38170309509412,-2.68675899711845,0.00721489890659489,0.996063541933261
"36","1500003O03Rik",4.36117873946985,-2.73399217264151,1.02012408386986,-2.68005845158567,0.00736093054227139,0.996063541933261
"37","Etv3",2.72946240752502,-4.13897251389187,1.54803194864327,-2.67369967236099,0.00750196016672977,0.996063541933261
"38","Samhd1",3.29327371795442,-3.60475464070419,1.35567014987395,-2.6590204416903,0.00783682079702585,0.996063541933261
"39","Dap",4.50510808635785,3.61568542983507,1.37118677382487,2.63690220680095,0.00836669480194471,0.996063541933261
"40","Ets2",7.46208355333191,-1.80259427361463,0.688515303623371,-2.61808889959065,0.00884237653250808,0.996063541933261
"41","Glt25d1",4.57486276939864,-2.9233897273381,1.11935309387493,-2.61167789085929,0.00900990997116093,0.996063541933261
"42","Mms19",2.94589185599281,-3.68071634520924,1.41734295854888,-2.59691299343503,0.00940657479105734,0.996063541933261
"43","Prkch",7.72141161457236,-1.82392333715243,0.707405800503109,-2.57832680457984,0.00992800545239377,0.996063541933261
"44","Klhl25",2.60644550447868,-4.68099590631714,1.82278104699075,-2.56805166700907,0.0102271911318962,0.996063541933261
"45","Lipe",7.07681920185366,-1.9569758571871,0.762173790830208,-2.56762418326591,0.0102398104540678,0.996063541933261
"46","Mmaa",4.74299753517335,3.73940396742742,1.45659687829091,2.56721953970891,0.0102517683014973,0.996063541933261
"47","Lipa",8.04344238525099,-1.58857778703485,0.619408477093239,-2.56466910896947,0.0103274239848471,0.996063541933261
"48","Kifc3",3.66610838420299,-2.80615252193099,1.0962685033499,-2.55973104522857,0.0104753198277563,0.996063541933261
"49","Coro2a",2.83981182235918,-3.87724624654526,1.52218944668614,-2.54715091803203,0.0108606452634567,0.996063541933261
"50","Osmr",7.063723197063,-2.08052279729,0.819487741090374,-2.53880893266537,0.0111230551066294,0.996063541933261
"51","Ttc33",2.9274767413847,4.14458218242848,1.63268862547936,2.53850129029448,0.0111328392373226,0.996063541933261
"52","Ppp3cc",6.74342804031199,-1.81555321131027,0.717563306116693,-2.5301645106906,0.0114009057169938,0.996063541933261
"53","Acyp2",5.19573832604099,3.50946667683211,1.38999615637572,2.52480315196173,0.0115763112383216,0.996063541933261
"54","Zfp14",1.90864199745817,-5.32658570189136,2.12108014508857,-2.51126093194793,0.0120300738890172,0.996063541933261
"55","0610010O12Rik",5.73907752597309,2.52715931800981,1.00694225708353,2.50973608489665,0.0120821422333884,0.996063541933261
"56","Abcd1",1.90796323737222,-5.58167693416091,2.2290788254007,-2.50402851193813,0.012278813876599,0.996063541933261
"57","Med12",3.14454152164345,-3.50028476255787,1.40562085185742,-2.49020549028746,0.0127669256326085,0.996063541933261
