"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Fam38a",8.45579013289385,-4.21383532866706,0.808204052093207,-5.21382603533532,1.84984958263121e-07,0.00225940628022576
"2","Dnajc11",4.49192285043053,-5.61392523445945,1.28017340329223,-4.38528500906367,1.15834013544299e-05,0.0707398320715036
"3","Uhrf1bp1",4.0400335773526,-6.06945705932088,1.44485504520359,-4.20073769993006,2.66046680296547e-05,0.108316471771401
"4","Lnpep",3.96728518275585,-5.32175162922806,1.34101550512401,-3.96844899174819,7.23419374920745e-05,0.220896106132049
"5","Dmtf1",4.37238821715578,-5.43598219719128,1.41873830832309,-3.8315608772251,0.0001273328579703,0.31104870544985
"6","Snx18",3.27846952025876,-5.81255912470493,1.58103512871356,-3.67642629764616,0.000236524148329077,0.481484324615225
"7","Arhgap25",6.44614689293273,-3.0981180828299,0.863632307156701,-3.58731147174161,0.000334105136885448,0.582965734559837
"8","Arntl",5.04647315313978,-3.65428953932165,1.03039515341411,-3.54649333046019,0.000390394624213777,0.596034992518384
"9","Fzd4",6.98809318088791,-2.74867516200263,0.785353181497967,-3.4999223620128,0.000465393683139214,0.631590938429152
"10","Dpp8",3.68508129636298,-4.69966395959406,1.37931993500999,-3.40723268061809,0.000656251565135332,0.6792531186409
"11","Fam48a",5.44175126139999,-3.34445618120748,0.984776757680418,-3.39615669756985,0.000683392243749209,0.6792531186409
"12","Xpr1",3.699345811728,-4.16764394733323,1.2321965544175,-3.38228826593613,0.000718846687606443,0.6792531186409
"13","Mdc1",4.17249049759642,-3.89768269128489,1.16315050443037,-3.35097021102502,0.000805289645715218,0.6792531186409
"14","Plekha3",2.57859251654416,-5.43046577772532,1.62385371565699,-3.34418410067696,0.000825249541111964,0.6792531186409
"15","Rnf219",2.64421202086953,-5.8397049106393,1.75395788652215,-3.32944419903867,0.000870194991681418,0.6792531186409
"16","Mtmr14",3.7719199183391,-4.56428926523895,1.37344808921271,-3.32323391112314,0.000889802677112691,0.6792531186409
"17","2310008H04Rik",2.62454930094098,-5.43927692036044,1.68415293036915,-3.22968111878545,0.00123928357366686,0.890388798162765
"18","E430025E21Rik",3.93626839119379,-3.95852845421153,1.25727359515333,-3.14850202014206,0.00164109589026358,0.999999074774074
"19","Gm16039",2.48626842743968,-5.51678646788789,1.76099587570543,-3.13276512682231,0.00173167952925579,0.999999074774074
"20","Dnaja4",4.13264675291063,-3.52265257848297,1.12583062015156,-3.12893655176011,0.00175440186742376,0.999999074774074
"21","Prkcd",4.70028718003935,-3.31117857547569,1.0649264722531,-3.10930253097205,0.0018752959226115,0.999999074774074
"22","4930455F23Rik",3.14381643884922,-4.8078508885523,1.54651091048079,-3.108837355087,0.0018782508271689,0.999999074774074
"23","Dgka",4.79916489364707,-3.32809708642989,1.08387342761695,-3.07055879554791,0.00213658614799006,0.999999074774074
"24","Zw10",3.57509841134977,-3.97152123522312,1.30194959314412,-3.05044162703118,0.00228505093954371,0.999999074774074
"25","Gimap8",4.88876542417387,-3.07523225856987,1.01013793965718,-3.04436863307355,0.00233169237734452,0.999999074774074
"26","Zcchc8",3.49759333409207,-3.83207162709713,1.27287665675393,-3.01056006233127,0.00260766368907012,0.999999074774074
"27","Frat2",3.21599595729951,-4.46942283874682,1.50875147745884,-2.96233203779497,0.0030531833745301,0.999999074774074
"28","D15Ertd621e",2.41714133955193,-5.26541718282426,1.77927389138302,-2.95930671962566,0.00308332048918931,0.999999074774074
"29","Hmgb3",2.07388099802456,-5.72380495606954,1.93766758266989,-2.95396641160852,0.00313718148453849,0.999999074774074
"30","Cnot7",3.4069755456768,-4.44240669705952,1.50652143092031,-2.94878426943168,0.00319026587245583,0.999999074774074
"31","Uhmk1",2.99787329938694,-4.70828957848362,1.59799856351244,-2.94636659005168,0.00321531085445305,0.999999074774074
"32","Nfyb",3.05868490185359,-4.34756618679761,1.48256594840964,-2.93246057044631,0.00336287621474985,0.999999074774074
"33","Ccdc43",2.33002424897189,-5.23515311347991,1.79496281117218,-2.91658026611768,0.003538916536205,0.999999074774074
"34","Mapk6",4.81448042199956,-2.70547303382096,0.939430784358806,-2.87990672529168,0.00397792838395569,0.999999074774074
"35","Jarid2",5.47670867674646,-2.93153099024728,1.01846674987756,-2.87837672717318,0.00399727471135799,0.999999074774074
"36","Ptpn21",3.98404187043889,-3.64324590001361,1.27316224039319,-2.86157237815069,0.00421545240271093,0.999999074774074
"37","Myof",5.39990874616929,3.9716127118652,1.3910349569637,2.85514946406113,0.0043016579557797,0.999999074774074
"38","Gm106",5.00942657576076,3.93675934476614,1.38561683359078,2.84116016010296,0.00449497315926446,0.999999074774074
"39","Ift88",2.22096902448362,-5.28890428743533,1.86428229166778,-2.83696536252774,0.00455445526398845,0.999999074774074
"40","Pdia4",2.70927649868343,-4.16841913031153,1.47540460768994,-2.82527186683934,0.00472405146990459,0.999999074774074
"41","Hacl1",3.78527224248058,-3.66116078235661,1.30007970992683,-2.81610485449593,0.00486097988811539,0.999999074774074
"42","Ints5",3.09953907502739,-4.23554260334842,1.50774850380314,-2.80918375489327,0.00496672889076038,0.999999074774074
"43","Efna3",2.70042359291607,-4.60470315415012,1.65160534387278,-2.78801662348266,0.00530318224906506,0.999999074774074
"44","Lmf2",3.39816156331858,-3.40515998238802,1.23125050758603,-2.76561102830659,0.00568162601365835,0.999999074774074
"45","Fam160b1",3.58705047756055,-3.68275851926301,1.33475708262662,-2.75912266523872,0.00579567756310855,0.999999074774074
"46","Plscr3",4.91973810739848,-2.79333456026773,1.01520519091774,-2.75149751523885,0.00593234698667167,0.999999074774074
"47","Ikbkb",5.52714693785681,-2.49733198934256,0.915673642608863,-2.72731666953672,0.00638517282700052,0.999999074774074
"48","Mylk",2.84225430237644,-3.78325692586702,1.38948293383404,-2.72278041978377,0.00647350684388286,0.999999074774074
"49","Yes1",2.90992174991533,-4.58104921448659,1.69161193218468,-2.70809700932427,0.00676702391221059,0.999999074774074
"50","Snrnp40",4.60463916750895,-2.62940430672928,0.980986348371068,-2.68036788798888,0.00735412872417938,0.999999074774074
"51","Gpr137b-ps",3.33992825786724,-3.34933761959118,1.260270360399,-2.65763420678305,0.00786912520539241,0.999999074774074
"52","Fam82a2",3.66997936800769,-3.12295967905599,1.19061392948837,-2.62298264929419,0.00871637113686189,0.999999074774074
"53","Lgals8",3.40216530129379,-3.59804169986084,1.37792747853828,-2.61119816238637,0.00902255955962457,0.999999074774074
"54","Cdc42se2",2.83325713840686,-3.79126943758365,1.45246062595437,-2.61023904527016,0.00904789733162408,0.999999074774074
"55","4931406H21Rik",4.50072351800554,-7.07048269689645,2.70922483895179,-2.60978070008839,0.00906002822660583,0.999999074774074
"56","Bach1",4.6441010643814,-2.56044141639038,0.98519554002475,-2.59891697878175,0.00935183879139797,0.999999074774074
"57","Cdc23",2.17890298287999,-4.81856067628956,1.86812855108438,-2.57935176542993,0.00989859316394229,0.999999074774074
"58","Ccdc109b",5.57922408739475,3.50873415654803,1.3628506969741,2.57455505899389,0.0100369110298842,0.999999074774074
"59","Tyk2",3.07716244168615,-3.96541343044972,1.54200848111948,-2.57158989655549,0.010123272947796,0.999999074774074
"60","Nat15",5.22323963895745,-2.28373394623718,0.889149772929219,-2.56844686437206,0.0102155372208984,0.999999074774074
"61","Nt5dc2",3.40997290516489,-6.66693511404333,2.60230616796126,-2.56193340972882,0.010409127420855,0.999999074774074
"62","Arhgap18",3.0516478173499,-3.64712890024099,1.42898781137993,-2.55224633212167,0.0107030816494756,0.999999074774074
"63","Dld",3.67472331032118,-3.23427588739689,1.26885246137759,-2.54897711581491,0.0108039389437297,0.999999074774074
"64","2310046O06Rik",4.33875807641449,3.68641806793363,1.44697528401514,2.54767175960627,0.0108444454073452,0.999999074774074
"65","Gem",1.90051589393941,-4.93339455735511,1.9381478919075,-2.54541698182781,0.0109147313905962,0.999999074774074
"66","Zfp629",4.05487000786947,-6.89295709390455,2.70987717561175,-2.54364188751413,0.0109703491842126,0.999999074774074
"67","Amfr",2.56448068694402,-3.73033341984581,1.47483213070614,-2.52932746865215,0.0114281345299702,0.999999074774074
"68","Cenpb",4.44545506921498,3.58958952898544,1.42615249843283,2.51697454019115,0.0118367382174816,0.999999074774074
"69","Zkscan17",4.11912099825015,-6.84101988969279,2.72750544785002,-2.50815993606366,0.0121361722004871,0.999999074774074
"70","Sox7",10.0370251918534,-1.47371795843495,0.588428367987818,-2.50449848887208,0.012262512908919,0.999999074774074
"71","Nup88",3.55734737784545,-2.76766594043692,1.11462198011725,-2.48305343857098,0.0130261544653854,0.999999074774074
"72","Tspo",7.42128897986141,3.27080045393643,1.32319927649329,2.47188803080714,0.0134401604378217,0.999999074774074
"73","Bhlhb9",3.25855154150124,-3.20768466632881,1.30268351297081,-2.46236682539535,0.0138023420315801,0.999999074774074
"74","Tbl1x",3.13611915095648,-3.4100480416214,1.38724854236154,-2.45813777235363,0.0139659585038686,0.999999074774074
"75","Kdm5b",4.1861661518199,-2.59935822961645,1.06175124063892,-2.44818007281277,0.0143579877260189,0.999999074774074
"76","Pds5b",2.34085459898925,-4.45759678781756,1.82104788544288,-2.44781964464019,0.0143723578267976,0.999999074774074
"77","Ehd2",5.62018317120519,-2.0628600339543,0.843581365465155,-2.44535988868937,0.0144707662673273,0.999999074774074
"78","Slc7a6os",3.30739532224781,-3.28232357352559,1.34677151409328,-2.43717923877788,0.0148023402014473,0.999999074774074
"79","Minos1",4.69476727418733,3.63046688914863,1.49049875568869,2.43573963097416,0.0148613774030988,0.999999074774074
"80","Cd320",4.17283752630579,3.51257881914781,1.44559636711873,2.42984756951822,0.0151051740879739,0.999999074774074
"81","Pdp1",3.6911765438066,-2.94963382580462,1.21474672932012,-2.4281883248663,0.0151744614736258,0.999999074774074
"82","Lars2",4.69248419043399,-2.46586429580644,1.01564913232403,-2.42787023326056,0.0151877763906519,0.999999074774074
"83","Anapc1",3.61169979408301,-2.90442856531053,1.20142718990133,-2.41748196621808,0.0156283083870902,0.999999074774074
"84","Fmo2",3.68501524344817,3.52551466963268,1.45918330227786,2.41608759100325,0.015688286902747,0.999999074774074
"85","Galntl2",5.76959286762387,-4.44652644052492,1.84350428492312,-2.41199680244321,0.0158654206678411,0.999999074774074
"86","Trim41",3.50507825304094,-3.06008836595758,1.27041201063925,-2.40873696118301,0.0160078306797064,0.999999074774074
"87","Gsdmd",9.48998887080494,-1.46648409242177,0.611477018771724,-2.39826526165693,0.0164729310769373,0.999999074774074
"88","2900026A02Rik",4.0981679321981,-2.59070900029312,1.08360073686657,-2.39083355349557,0.0168101718449432,0.999999074774074
"89","Lamtor2",4.29207083272244,3.60112682391246,1.51053964962897,2.38400019807292,0.0171255931529362,0.999999074774074
"90","Hcfc2",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"91","Kctd7",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"92","Nup62",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"93","Sigirr",4.31077991673107,3.45312303280397,1.44969163399508,2.38197072524162,0.0172202663513401,0.999999074774074
"94","Shank3",3.2185297418598,-3.20076598886472,1.35132259674065,-2.36861723217303,0.0178547209158284,0.999999074774074
"95","Gm608",4.52370446810644,-2.76261911496798,1.17209517655043,-2.35699213701962,0.0184236369635536,0.999999074774074
"96","Sun2",2.59549942068598,-3.69803527354562,1.5695328527332,-2.35613753933588,0.0184660790587305,0.999999074774074
"97","Fam115a",2.96297747298081,-3.31364873069428,1.41476303824752,-2.3421934565091,0.0191707750650104,0.999999074774074
"98","Pkn3",5.63757311411234,-2.21334587223827,0.946261862967022,-2.33904161084785,0.019333280064284,0.999999074774074
"99","Gnptab",1.66481641232746,-5.39182203995684,2.3054410188794,-2.33873779281399,0.0193490079468253,0.999999074774074
"100","Tmcc3",3.89848297791521,-2.60305693832274,1.11482644021691,-2.33494366873491,0.0195463636847343,0.999999074774074
"101","Tmem206",2.75590441156823,-3.90330273615926,1.67794960977098,-2.32623358498354,0.0200060929063451,0.999999074774074
"102","Scyl2",3.0740776187948,-3.25318532680696,1.4009173235031,-2.32218223890052,0.0202231249306062,0.999999074774074
"103","Chmp2b",5.70626952992956,-2.07507654195265,0.893757729298381,-2.32174388419738,0.0202467304571475,0.999999074774074
"104","AI314180",3.81363677813309,-3.01841861973017,1.30180599414481,-2.31863936201418,0.02041459895465,0.999999074774074
"105","Pcif1",5.17124557015416,-2.09509872623561,0.904068785805549,-2.31741075361741,0.0204813671107111,0.999999074774074
"106","Gpn2",3.93786705674674,3.45116963029579,1.48970043449923,2.31668699986378,0.0205207882502654,0.999999074774074
"107","Eif2s2",3.91816560100937,3.48905476152208,1.51193855939389,2.30766967337667,0.0210175160615816,0.999999074774074
"108","Tal1",1.90177976585829,-4.73396718272273,2.05143523238359,-2.30763667699236,0.0210193527699662,0.999999074774074
"109","Txlng",1.98452093149123,-4.63807496510387,2.01402625724523,-2.30288703954028,0.0212851995567239,0.999999074774074
"110","Wasl",3.69358380854613,-2.69968933673067,1.17254864699045,-2.30241137001854,0.0213119843775193,0.999999074774074
"111","Ralgapb",3.01347564912931,-3.47809514669102,1.51844758140158,-2.29055990426789,0.0219888801793057,0.999999074774074
"112","Oplah",2.46382988299442,-3.66319699632427,1.60118928455786,-2.28779759623223,0.0221493108954489,0.999999074774074
"113","H2-Q6",3.38588046262041,3.43228087896591,1.50333702361926,2.28310806229114,0.0224240037781612,0.999999074774074
