"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002534","GO:0002534","cytokine production involved in inflammatory response","5/158","65/28814",2.94715307325267e-05,0.0308522197528893,0.0277298280081426,"Bap1/Seh1l/Nod2/Abcd1/Nos2",5
"GO:0010876","GO:0010876","lipid localization","11/158","449/28814",4.02366899711654e-05,0.0308522197528893,0.0277298280081426,"Lima1/Slco2b1/Stat5b/Dab2/Lrp10/Stard4/Pitpnm1/Cry1/Xrcc4/Abcd1/Nos2",11
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","11/158","461/28814",5.10112505205776e-05,0.0308522197528893,0.0277298280081426,"Sh3bp4/Dab2/Trim12c/Trim34a/Rnf31/Cnot2/Nnt/Cpt1a/Atg13/Nod2/Abcd1",11
"GO:0046486","GO:0046486","glycerolipid metabolic process","10/158","381/28814",5.12786613025598e-05,0.0308522197528893,0.0277298280081426,"Sik1/Lipe/Plcg1/Cat/Pik3c3/Hadha/Cpt1a/Agpat2/Pigl/Pik3r4",10
"GO:0006869","GO:0006869","lipid transport","10/158","390/28814",6.22773915076489e-05,0.0308522197528893,0.0277298280081426,"Lima1/Slco2b1/Dab2/Lrp10/Stard4/Pitpnm1/Cry1/Xrcc4/Abcd1/Nos2",10
"GO:0008202","GO:0008202","steroid metabolic process","9/158","338/28814",0.000109793116625568,0.0453262583135887,0.0407390248531714,"Lima1/Lipa/Stat5b/Hmgcs2/Dab2/Lipe/Cat/Stard4/Lrp5",9
"GO:0010506","GO:0010506","regulation of autophagy","8/158","283/28814",0.000177170563614757,0.0487464326918942,0.0438130612767381,"Sh3bp4/Trim12c/Trim34a/Rnf31/Pik3c3/Atg13/Nod2/Pik3r4",8
"GO:0010508","GO:0010508","positive regulation of autophagy","6/158","151/28814",0.000191275557347544,0.0487464326918942,0.0438130612767381,"Sh3bp4/Trim12c/Trim34a/Rnf31/Atg13/Nod2",6
"GO:0002532","GO:0002532","production of molecular mediator involved in inflammatory response","5/158","97/28814",0.000199737537478673,0.0487464326918942,0.0438130612767381,"Bap1/Seh1l/Nod2/Abcd1/Nos2",5
"GO:0016125","GO:0016125","sterol metabolic process","6/158","154/28814",0.000212784140769963,0.0487464326918942,0.0438130612767381,"Lima1/Lipa/Hmgcs2/Lipe/Cat/Lrp5",6
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","9/158","371/28814",0.000220055445824071,0.0487464326918942,0.0438130612767381,"Sik1/Entpd1/Dab2/Stard4/Kat2a/Cpt1a/Cry1/Abcd1/Nos2",9
"GO:0051092","GO:0051092","positive regulation of NF-kappaB transcription factor activity","6/158","157/28814",0.000236155507590929,0.0487464326918942,0.0438130612767381,"Prkch/Trim12c/Trim34a/Cat/Rnf31/Nod2",6
