"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Ctdnep1",2.59208541811865,4.15386643923677,1.76901789384357,2.34812008046544,0.0188684372114683,0.996063541933261
"2","Ttc33",2.9274767413847,4.14458218242848,1.63268862547936,2.53850129029448,0.0111328392373226,0.996063541933261
"3","Drap1",2.4366176529773,4.06846313599834,1.77623162556384,2.29050258842614,0.0219921986996647,0.996063541933261
"4","Zxda",3.7321648989706,3.80584163584209,1.65696097862564,2.29688066583127,0.0216255782142482,0.996063541933261
"5","Lin37",2.1054645064284,3.74342063493287,1.87809101517878,1.99320512407463,0.0462389902531461,0.996063541933261
"6","Mmaa",4.74299753517335,3.73940396742742,1.45659687829091,2.56721953970891,0.0102517683014973,0.996063541933261
"7","Rsbn1",3.84984285518639,3.71872489849327,1.53246658914495,2.42662706308538,0.0152399126650053,0.996063541933261
"8","N6amt1",2.88406569559506,3.70386999317649,1.76429722811562,2.09934580985113,0.0357864279392372,0.996063541933261
"9","2310033P09Rik",2.45880111969956,3.61608455798867,1.7878089452135,2.0226347830231,0.0431108153021568,0.996063541933261
"10","Dap",4.50510808635785,3.61568542983507,1.37118677382487,2.63690220680095,0.00836669480194471,0.996063541933261
"11","Acyp2",5.19573832604099,3.50946667683211,1.38999615637572,2.52480315196173,0.0115763112383216,0.996063541933261
"12","Mad2l1bp",2.76736012048605,3.4917452956531,1.76029774184834,1.98361062031853,0.0472992643458824,0.996063541933261
"13","Nfkb1",3.09151099767438,3.43867026531982,1.5609931154274,2.20287343444068,0.0276036704977601,0.996063541933261
"14","Nsmce2",3.11341926172859,3.41871959767218,1.57079584313917,2.1764251621904,0.0295234840018434,0.996063541933261
"15","Zdhhc8",3.89118068821622,3.36894436399219,1.41605307297481,2.37910882599533,0.0173545515899509,0.996063541933261
"16","Nfkbil1",3.02957987818163,3.3655695856933,1.6849474860885,1.99743292504994,0.0457781741127395,0.996063541933261
"17","Smek2",3.28948899633523,3.2992599401702,1.54046252754489,2.14173333085122,0.0322149469737494,0.996063541933261
"18","Mir126",5.25078317342006,2.93942623953283,1.18539371617533,2.47970459048567,0.0131491271016127,0.996063541933261
"19","Bcl9l",4.34252109793556,2.84532263658481,1.40115583340886,2.03069677814669,0.0422857633899166,0.996063541933261
"20","Dap3",3.91481543789638,2.72186786400339,1.30261450417475,2.08954211340353,0.0366589511338166,0.996063541933261
"21","Bet1l",5.40881040288409,2.55189741049319,1.20738074571182,2.11358133675447,0.0345510412725645,0.996063541933261
"22","0610010O12Rik",5.73907752597309,2.52715931800981,1.00694225708353,2.50973608489665,0.0120821422333884,0.996063541933261
"23","3110001D03Rik",4.8066530589392,2.4211157497678,1.13921865685824,2.1252423625547,0.0335663948947416,0.996063541933261
"24","Chmp6",4.41601315618453,2.38512450121733,1.13240284520376,2.10625089059022,0.0351825646964811,0.996063541933261
"25","1110058L19Rik",5.73322121386317,2.37737777692479,1.13097720425199,2.10205631730406,0.0355483427943759,0.996063541933261
"26","Erh",5.84040985107329,2.3615463351809,1.00682827761422,2.34553040244045,0.0190000289687458,0.996063541933261
"27","Gt(ROSA)26Sor",4.20351896790409,2.34540334911412,1.1706068389251,2.00357905927473,0.0451151708960564,0.996063541933261
"28","Nubpl",4.58776039671994,2.32883144705134,1.18819982021088,1.95996616683381,0.0499997449119238,0.996063541933261
"29","Cib1",5.43319139818569,2.16903034431959,1.09140004197895,1.98738341661291,0.0468799239816501,0.996063541933261
"30","Med21",4.83857484784102,2.12620384538121,1.05834518841466,2.00898900345183,0.0445382999472641,0.996063541933261
"31","Tomm6",5.69584273108979,2.03763459852684,0.971947889829071,2.09644428456467,0.0360427974651882,0.996063541933261
"32","Pfn1",9.41198142247428,1.56678508392494,0.676127590278046,2.31729204140394,0.02048782854998,0.996063541933261
"33","Rnaset2b",8.16926594863098,1.46121709421742,0.740002743874644,1.97461037315417,0.0483123809768015,0.996063541933261
"34","Gkn3",10.1074643493653,1.45271669103431,0.66564365925133,2.18242399043991,0.0290782553540629,0.996063541933261
"35","Sox18",10.5715619889079,1.23282641037882,0.597695969233286,2.06263129390059,0.0391476721756042,0.996063541933261
"36","Cfl1",14.7089531655255,1.03392273114629,0.460072378734699,2.24730450889012,0.0246205729235016,0.996063541933261
