"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","2/29","15/28814",0.000101865266811483,0.0216401265808788,0.0130122436288533,"Mad2l1bp/Nsmce2",2
"GO:1901970","GO:1901970","positive regulation of mitotic sister chromatid separation","2/29","15/28814",0.000101865266811483,0.0216401265808788,0.0130122436288533,"Mad2l1bp/Nsmce2",2
"GO:0098885","GO:0098885","modification of postsynaptic actin cytoskeleton","2/29","16/28814",0.000116344766563865,0.0216401265808788,0.0130122436288533,"Pfn1/Cfl1",2
"GO:1902101","GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","2/29","16/28814",0.000116344766563865,0.0216401265808788,0.0130122436288533,"Mad2l1bp/Nsmce2",2
"GO:1905820","GO:1905820","positive regulation of chromosome separation","2/29","25/28814",0.000289232111609131,0.0326258363779353,0.0196179689595678,"Mad2l1bp/Nsmce2",2
"GO:0099010","GO:0099010","modification of postsynaptic structure","2/29","26/28814",0.000313139270443777,0.0326258363779353,0.0196179689595678,"Pfn1/Cfl1",2
"GO:0071354","GO:0071354","cellular response to interleukin-6","2/29","31/28814",0.000446634169861233,0.0326258363779353,0.0196179689595678,"Nfkb1/Cfl1",2
"GO:0070741","GO:0070741","response to interleukin-6","2/29","33/28814",0.000506513404153368,0.0326258363779353,0.0196179689595678,"Nfkb1/Cfl1",2
"GO:0010639","GO:0010639","negative regulation of organelle organization","4/29","373/28814",0.000508060929322457,0.0326258363779353,0.0196179689595678,"Mad2l1bp/Cib1/Pfn1/Cfl1",4
"GO:0099563","GO:0099563","modification of synaptic structure","2/29","34/28814",0.000537834821481159,0.0326258363779353,0.0196179689595678,"Pfn1/Cfl1",2
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","3/29","161/28814",0.000562280829207272,0.0326258363779353,0.0196179689595678,"Mad2l1bp/Nsmce2/Chmp6",3
"GO:1990089","GO:1990089","response to nerve growth factor","2/29","35/28814",0.000570075098001558,0.0326258363779353,0.0196179689595678,"Nfkb1/Cib1",2
"GO:1990090","GO:1990090","cellular response to nerve growth factor stimulus","2/29","35/28814",0.000570075098001558,0.0326258363779353,0.0196179689595678,"Nfkb1/Cib1",2
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","3/29","176/28814",0.000728304508754459,0.0349933659558779,0.0210415683803737,"Cib1/Pfn1/Cfl1",3
"GO:0032232","GO:0032232","negative regulation of actin filament bundle assembly","2/29","40/28814",0.000744998107275696,0.0349933659558779,0.0210415683803737,"Pfn1/Cfl1",2
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","3/29","178/28814",0.000752545504427481,0.0349933659558779,0.0210415683803737,"Cib1/Pfn1/Cfl1",3
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","3/29","185/28814",0.000841426013315388,0.0368247619945088,0.0221427898240892,"Nfkb1/Cib1/Cfl1",3
"GO:0000819","GO:0000819","sister chromatid segregation","3/29","190/28814",0.000908831428155232,0.0369114338522248,0.0221949057543797,"Mad2l1bp/Nsmce2/Chmp6",3
