"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048407","GO:0048407","platelet-derived growth factor binding","1/7","12/28275",0.00296735692919348,0.0303219858256181,0.00780214839957424,"Pdgfb",1
"GO:0005161","GO:0005161","platelet-derived growth factor receptor binding","1/7","14/28275",0.00346118190596034,0.0303219858256181,0.00780214839957424,"Pdgfb",1
"GO:0019215","GO:0019215","intermediate filament binding","1/7","14/28275",0.00346118190596034,0.0303219858256181,0.00780214839957424,"Nme2",1
"GO:0004550","GO:0004550","nucleoside diphosphate kinase activity","1/7","21/28275",0.00518791871959534,0.0303219858256181,0.00780214839957424,"Nme2",1
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","1/7","22/28275",0.00543438593021883,0.0303219858256181,0.00780214839957424,"Ndufa7",1
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","1/7","22/28275",0.00543438593021883,0.0303219858256181,0.00780214839957424,"Ndufa7",1
"GO:0003954","GO:0003954","NADH dehydrogenase activity","1/7","25/28275",0.00617347355038311,0.0303219858256181,0.00780214839957424,"Ndufa7",1
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","1/7","25/28275",0.00617347355038311,0.0303219858256181,0.00780214839957424,"Ndufa7",1
"GO:0031210","GO:0031210","phosphatidylcholine binding","1/7","29/28275",0.00715819136236462,0.0303219858256181,0.00780214839957424,"Chmp2a",1
"GO:0016776","GO:0016776","phosphotransferase activity, phosphate group as acceptor","1/7","35/28275",0.00863369996602126,0.0303219858256181,0.00780214839957424,"Nme2",1
"GO:0019205","GO:0019205","nucleobase-containing compound kinase activity","1/7","38/28275",0.00937074915760228,0.0303219858256181,0.00780214839957424,"Nme2",1
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","1/7","40/28275",0.00986185430289466,0.0303219858256181,0.00780214839957424,"Ndufa7",1
"GO:0045505","GO:0045505","dynein intermediate chain binding","1/7","40/28275",0.00986185430289466,0.0303219858256181,0.00780214839957424,"Dynlrb1",1
"GO:0050997","GO:0050997","quaternary ammonium group binding","1/7","40/28275",0.00986185430289466,0.0303219858256181,0.00780214839957424,"Chmp2a",1
"GO:0042056","GO:0042056","chemoattractant activity","1/7","41/28275",0.0101073286085394,0.0303219858256181,0.00780214839957424,"Pdgfb",1
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","1/7","50/28275",0.0123142510120389,0.0346338309713593,0.00891162902187023,"Ndufa7",1
"GO:0005504","GO:0005504","fatty acid binding","1/7","62/28275",0.0152502529723973,0.0393471464877823,0.0101244119617685,"Nme2",1
"GO:0004521","GO:0004521","endoribonuclease activity","1/7","64/28275",0.0157388585951129,0.0393471464877823,0.0101244119617685,"Rnaset2b",1
"GO:0009055","GO:0009055","electron transfer activity","1/7","70/28275",0.0172034288732029,0.0401731945643692,0.0103369623440482,"Ndufa7",1
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","1/7","76/28275",0.0186661308124458,0.0401731945643692,0.0103369623440482,"Ndufa7",1
"GO:0019003","GO:0019003","GDP binding","1/7","79/28275",0.0193967817758804,0.0401731945643692,0.0103369623440482,"Nme2",1
"GO:0005518","GO:0005518","collagen binding","1/7","80/28275",0.0196402284536916,0.0401731945643692,0.0103369623440482,"Pdgfb",1
"GO:0033293","GO:0033293","monocarboxylic acid binding","1/7","93/28275",0.0228003242302343,0.0446093300156757,0.0114784240976008,"Nme2",1
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","1/7","100/28275",0.0244982948877525,0.0459343029145359,0.0118193527967227,"Ptprr",1
