"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046777","GO:0046777","protein autophosphorylation","9/178","243/28814",2.17681730089691e-05,0.0296171765761106,0.0269200862886709,"Mvp/Pdgfd/Clk4/Erbb2/Prkcd/Yes1/Aak1/Uhmk1/Epha7",9
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","10/178","324/28814",3.62038313362241e-05,0.0296171765761106,0.0269200862886709,"Mvp/Pdgfd/Clk4/Erbb2/Prkcd/Zgpat/Tyk2/Cnot7/Yes1/Epha7",10
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","10/178","327/28814",3.91257012245029e-05,0.0296171765761106,0.0269200862886709,"Mvp/Pdgfd/Clk4/Erbb2/Prkcd/Zgpat/Tyk2/Cnot7/Yes1/Epha7",10
"GO:0051310","GO:0051310","metaphase plate congression","5/178","64/28814",4.82757564402781e-05,0.0296171765761106,0.0269200862886709,"Chmp2b/Zw10/Cdc23/Gem/Nup62",5
"GO:0032506","GO:0032506","cytokinetic process","4/178","39/28814",9.78051261827675e-05,0.0434249718595452,0.0394704737143981,"Chmp2b/Kif20a/Nup62/Snx18",4
"GO:0048872","GO:0048872","homeostasis of number of cells","10/178","372/28814",0.000113915907280659,0.0434249718595452,0.0394704737143981,"Kcnq1/Ikbkb/Fancc/Zfx/Slc11a2/G6pdx/Tal1/Ppp2r3c/Ift88/Bcl2",10
"GO:0030048","GO:0030048","actin filament-based movement","6/178","129/28814",0.00015502812264261,0.0434249718595452,0.0394704737143981,"Myo1e/Kcnq1/Akap9/Wasl/Sun2/Epdr1",6
"GO:0051303","GO:0051303","establishment of chromosome localization","5/178","82/28814",0.000157959609452297,0.0434249718595452,0.0394704737143981,"Chmp2b/Zw10/Cdc23/Gem/Nup62",5
"GO:2000369","GO:2000369","regulation of clathrin-dependent endocytosis","3/178","18/28814",0.000176662466880959,0.0434249718595452,0.0394704737143981,"Wasl/Scyl2/Aak1",3
"GO:0050000","GO:0050000","chromosome localization","5/178","84/28814",0.000176955875548269,0.0434249718595452,0.0394704737143981,"Chmp2b/Zw10/Cdc23/Gem/Nup62",5
"GO:0007080","GO:0007080","mitotic metaphase plate congression","4/178","48/28814",0.00022157427870764,0.0444336845559671,0.0403873279175114,"Chmp2b/Zw10/Cdc23/Nup62",4
"GO:0009083","GO:0009083","branched-chain amino acid catabolic process","3/178","20/28814",0.000244574000194456,0.0444336845559671,0.0403873279175114,"Hmgcl/Acadsb/Dld",3
"GO:0032886","GO:0032886","regulation of microtubule-based process","8/178","268/28814",0.000275834159605094,0.0444336845559671,0.0403873279175114,"Erbb2/Chmp2b/Slain2/Akap9/Bicd2/Rae1/Tmem67/Nup62",8
"GO:0097320","GO:0097320","plasma membrane tubulation","3/178","21/28814",0.000284042660338179,0.0444336845559671,0.0403873279175114,"Ehd2/Wasl/Snx18",3
"GO:0016311","GO:0016311","dephosphorylation","9/178","347/28814",0.000325785373477918,0.0444336845559671,0.0403873279175114,"Ikbkb/Pdp1/Ctdspl2/Prkcd/Ptpn21/Synj2/Ppp2r3c/Bcl2/Rngtt",9
"GO:0060307","GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","3/178","22/28814",0.000327400779975912,0.0444336845559671,0.0403873279175114,"Wdr1/Kcnq1/Akap9",3
"GO:0099515","GO:0099515","actin filament-based transport","3/178","22/28814",0.000327400779975912,0.0444336845559671,0.0403873279175114,"Myo1e/Wasl/Sun2",3
"GO:0051656","GO:0051656","establishment of organelle localization","10/178","427/28814",0.000343854124162528,0.0444336845559671,0.0403873279175114,"Myo1e/Chmp2b/Wasl/Bicd2/Nup88/Sun2/Zw10/Cdc23/Gem/Nup62",10
"GO:0098813","GO:0098813","nuclear chromosome segregation","8/178","277/28814",0.000344026082544163,0.0444336845559671,0.0403873279175114,"Chmp2b/Anapc1/Zw10/Pds5b/Cdc23/Gem/Syce2/Nup62",8
"GO:1902410","GO:1902410","mitotic cytokinetic process","3/178","23/28814",0.000374804824177089,0.0459885519265288,0.0418006011805922,"Chmp2b/Kif20a/Nup62",3
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","3/178","24/28814",0.000426407962333358,0.0463639550269838,0.0421418181710542,"Hmgcl/Acadsb/Dld",3
"GO:0099625","GO:0099625","ventricular cardiac muscle cell membrane repolarization","3/178","24/28814",0.000426407962333358,0.0463639550269838,0.0421418181710542,"Wdr1/Kcnq1/Akap9",3
"GO:0007009","GO:0007009","plasma membrane organization","6/178","158/28814",0.000461813801698363,0.0463639550269838,0.0421418181710542,"Ehd2/Chmp2b/Wasl/Plscr3/Prkcd/Snx18",6
"GO:0007173","GO:0007173","epidermal growth factor receptor signaling pathway","5/178","104/28814",0.000477314996930417,0.0463639550269838,0.0421418181710542,"Mvp/Erbb2/Cdh13/Zgpat/Nup62",5
"GO:0051168","GO:0051168","nuclear export","6/178","159/28814",0.000477500246470557,0.0463639550269838,0.0421418181710542,"Nup88/Ctdspl2/Rae1/Uhmk1/Nup62/1700017N19Rik",6
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","6/178","161/28814",0.000510116864600067,0.0463639550269838,0.0421418181710542,"Chmp2b/Anapc1/Zw10/Pds5b/Cdc23/Nup62",6
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","6/178","161/28814",0.000510116864600067,0.0463639550269838,0.0421418181710542,"Chmp2b/Slain2/Akap9/Bicd2/Rae1/Nup62",6
"GO:0099623","GO:0099623","regulation of cardiac muscle cell membrane repolarization","3/178","26/28814",0.000542807969090202,0.0471779102770603,0.0428816505284994,"Wdr1/Kcnq1/Akap9",3
"GO:0032409","GO:0032409","regulation of transporter activity","8/178","298/28814",0.000557522167088324,0.0471779102770603,0.0428816505284994,"Kcnq1/Akap9/Ikbkb/Shank3/Prkcd/Gem/Bcl2/Kctd7",8
"GO:0000289","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","3/178","27/28814",0.000607895070699736,0.0490568956144582,0.0445895259327572,"Pabpc1/Cnot6l/Cnot7",3
"GO:0030865","GO:0030865","cortical cytoskeleton organization","4/178","63/28814",0.000631191354191111,0.0490568956144582,0.0445895259327572,"Wdr1/Ehd2/Ikbkb/Ppp2r3c",4
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","7/178","233/28814",0.000639698720318933,0.0490568956144582,0.0445895259327572,"Sipa1/Erbb2/Arhgap25/Ralgapb/Arhgap18/Cdc42se2/Nup62",7
