"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","1700017N19Rik",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"2","4831426I19Rik",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"3","4930562C15Rik",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"4","Ccdc64b",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"5","Ccl17",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"6","Gm6484",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"7","Gm889",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"8","Wnt9b",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"9","Zfp708",4.83994503146656,-7.17929845859493,3.65510379903795,-1.96418456309902,0.0495086923394772,0.999999074774074
"10","4931406H21Rik",4.50072351800554,-7.07048269689645,2.70922483895179,-2.60978070008839,0.00906002822660583,0.999999074774074
"11","Zfp629",4.05487000786947,-6.89295709390455,2.70987717561175,-2.54364188751413,0.0109703491842126,0.999999074774074
"12","Zkscan17",4.11912099825015,-6.84101988969279,2.72750544785002,-2.50815993606366,0.0121361722004871,0.999999074774074
"13","Nt5dc2",3.40997290516489,-6.66693511404333,2.60230616796126,-2.56193340972882,0.010409127420855,0.999999074774074
"14","Slc25a30",5.23293770809764,-6.4564478000387,3.2756078949152,-1.9710685793807,0.0487160321017973,0.999999074774074
"15","Trdmt1",2.63682988667325,-6.27504911031187,2.95840856679037,-2.12108941974833,0.0339142781462716,0.999999074774074
"16","Uhrf1bp1",4.0400335773526,-6.06945705932088,1.44485504520359,-4.20073769993006,2.66046680296547e-05,0.108316471771401
"17","Rnf219",2.64421202086953,-5.8397049106393,1.75395788652215,-3.32944419903867,0.000870194991681418,0.6792531186409
"18","Snx18",3.27846952025876,-5.81255912470493,1.58103512871356,-3.67642629764616,0.000236524148329077,0.481484324615225
"19","Hmgb3",2.07388099802456,-5.72380495606954,1.93766758266989,-2.95396641160852,0.00313718148453849,0.999999074774074
"20","Hcfc2",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"21","Kctd7",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"22","Nup62",1.67706295319925,-5.70299705835427,2.39338068102689,-2.38282071195936,0.0171805594570913,0.999999074774074
"23","Dnajc11",4.49192285043053,-5.61392523445945,1.28017340329223,-4.38528500906367,1.15834013544299e-05,0.0707398320715036
"24","Gm16039",2.48626842743968,-5.51678646788789,1.76099587570543,-3.13276512682231,0.00173167952925579,0.999999074774074
"25","2310008H04Rik",2.62454930094098,-5.43927692036044,1.68415293036915,-3.22968111878545,0.00123928357366686,0.890388798162765
"26","Dmtf1",4.37238821715578,-5.43598219719128,1.41873830832309,-3.8315608772251,0.0001273328579703,0.31104870544985
"27","Plekha3",2.57859251654416,-5.43046577772532,1.62385371565699,-3.34418410067696,0.000825249541111964,0.6792531186409
"28","1700029J11Rik",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"29","AI597479",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"30","Apol8",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"31","Col11a2",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"32","Gm16617",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"33","Kif20a",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"34","Nadsyn1",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"35","Naif1",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"36","Olfr1372-ps1",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"37","Pvrl3",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"38","Samd5",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"39","Syce2",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"40","Tatdn1",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"41","Tmem53",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"42","Trerf1",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"43","Ttyh3",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"44","Zfa",1.45198350943997,-5.40590889082239,2.60919077492871,-2.07187183963966,0.0382773947861326,0.999999074774074
"45","Ahcyl2",1.55839996088371,-5.39591974333028,2.38052329167887,-2.26669479025547,0.023408876896642,0.999999074774074
"46","Gnptab",1.66481641232746,-5.39182203995684,2.3054410188794,-2.33873779281399,0.0193490079468253,0.999999074774074
