"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Myof",5.39990874616929,3.9716127118652,1.3910349569637,2.85514946406113,0.0043016579557797,0.999999074774074
"2","Gm106",5.00942657576076,3.93675934476614,1.38561683359078,2.84116016010296,0.00449497315926446,0.999999074774074
"3","2310046O06Rik",4.33875807641449,3.68641806793363,1.44697528401514,2.54767175960627,0.0108444454073452,0.999999074774074
"4","Minos1",4.69476727418733,3.63046688914863,1.49049875568869,2.43573963097416,0.0148613774030988,0.999999074774074
"5","Lamtor2",4.29207083272244,3.60112682391246,1.51053964962897,2.38400019807292,0.0171255931529362,0.999999074774074
"6","Cenpb",4.44545506921498,3.58958952898544,1.42615249843283,2.51697454019115,0.0118367382174816,0.999999074774074
"7","Fmo2",3.68501524344817,3.52551466963268,1.45918330227786,2.41608759100325,0.015688286902747,0.999999074774074
"8","Klf10",3.61272585472664,3.5242691074989,1.67089138834176,2.10921495681206,0.0349260314692827,0.999999074774074
"9","Cd320",4.17283752630579,3.51257881914781,1.44559636711873,2.42984756951822,0.0151051740879739,0.999999074774074
"10","Ccdc109b",5.57922408739475,3.50873415654803,1.3628506969741,2.57455505899389,0.0100369110298842,0.999999074774074
"11","AI467606",3.66839822364546,3.50325840020705,1.61949286591661,2.16318236031515,0.0305271564399596,0.999999074774074
"12","Eif2s2",3.91816560100937,3.48905476152208,1.51193855939389,2.30766967337667,0.0210175160615816,0.999999074774074
"13","Cyp2e1",3.82017984229128,3.48744218345744,1.58956851053702,2.19395525284987,0.0282386266111132,0.999999074774074
"14","Sigirr",4.31077991673107,3.45312303280397,1.44969163399508,2.38197072524162,0.0172202663513401,0.999999074774074
"15","Gpn2",3.93786705674674,3.45116963029579,1.48970043449923,2.31668699986378,0.0205207882502654,0.999999074774074
"16","Eif2ak2",3.63848395463264,3.44409873923138,1.54852337842462,2.22411801282278,0.0261405052802969,0.999999074774074
"17","H2-Q6",3.38588046262041,3.43228087896591,1.50333702361926,2.28310806229114,0.0224240037781612,0.999999074774074
"18","Pdcd6",3.54675269934022,3.38135664687118,1.49700876679908,2.25874204738375,0.0238994353026209,0.999999074774074
"19","Usp18",3.48964865049636,3.37861821205999,1.48119816213577,2.28100351352603,0.0225482389695767,0.999999074774074
"20","Anp32e",3.62858933475093,3.33448137868498,1.48720003413541,2.24212029461356,0.0249535986881045,0.999999074774074
"21","Stap2",3.08189851248773,3.31630335042804,1.65688157348972,2.00153312312071,0.0453349679116238,0.999999074774074
"22","Zmat5",3.33448092341741,3.29452670802908,1.55986334480406,2.11206111035509,0.0346812080809398,0.999999074774074
"23","Skil",3.79709612342552,3.27933851129754,1.48156638645565,2.21342664174685,0.0268682455881242,0.999999074774074
"24","Ddrgk1",3.87304715711431,3.27713989158267,1.45646746223648,2.25006048988589,0.0244451057155509,0.999999074774074
"25","Irf7",3.21259708320899,3.27539013839646,1.5218781863035,2.15220256645644,0.0313814036007616,0.999999074774074
