"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007009","GO:0007009","plasma membrane organization","9/176","158/28814",5.92748614685284e-07,0.00145519784905237,0.00125350733358183,"Tie1/Ehd2/Chmp7/Baiap2/Chmp1a/Xrcc4/Pten/Plscr3/Sh3tc2",9
"GO:0072010","GO:0072010","glomerular epithelium development","4/176","20/28814",6.03798114773875e-06,0.00741162185884932,0.00638437059253008,"Prom1/Foxc1/Ext1/Ampd2",4
"GO:0046777","GO:0046777","protein autophosphorylation","9/176","243/28814",1.99041512670243e-05,0.0162882304535149,0.0140306806650708,"Map3k3/Prkd2/Slk/Hk1/Fyn/Nbn/Tesk1/Sik2/Prkd1",9
"GO:0001542","GO:0001542","ovulation from ovarian follicle","3/176","12/28814",4.73297617503756e-05,0.0233054030919379,0.0200752727244949,"Nos3/Adamts1/Nrip1",3
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","8/176","213/28814",5.25314119942676e-05,0.0233054030919379,0.0200752727244949,"Scarb1/Cdipt/Becn1/Inpp1/Lpin2/Itpkb/Plscr3/Pik3cb",8
"GO:0071901","GO:0071901","negative regulation of protein serine/threonine kinase activity","6/176","109/28814",5.73841977908634e-05,0.0233054030919379,0.0200752727244949,"Heg1/Pten/Tesk1/Pik3cb/Dusp16/Pkia",6
"GO:0043542","GO:0043542","endothelial cell migration","8/176","228/28814",8.45553432982015e-05,0.0233054030919379,0.0200752727244949,"Nos3/Scarb1/Map3k3/Prkd2/Dnaja4/Pten/Pik3cb/Prkd1",8
"GO:0032984","GO:0032984","protein-containing complex disassembly","8/176","239/28814",0.00011715394444402,0.0233054030919379,0.0200752727244949,"Nes/Chmp7/Becn1/Wdr1/Chmp1a/Upf1/Atxn7/Capza1",8
"GO:0038084","GO:0038084","vascular endothelial growth factor signaling pathway","4/176","42/28814",0.000125606912360912,0.0233054030919379,0.0200752727244949,"Foxc1/Prkd2/Pik3cb/Prkd1",4
"GO:0046486","GO:0046486","glycerolipid metabolic process","10/176","381/28814",0.000126114363827603,0.0233054030919379,0.0200752727244949,"Scarb1/Cdipt/Becn1/Inpp1/Lpin2/Itpkb/Pten/Lipe/Plscr3/Pik3cb",10
"GO:0010631","GO:0010631","epithelial cell migration","9/176","313/28814",0.000139721954659174,0.0233054030919379,0.0200752727244949,"Nos3/Scarb1/Map3k3/Prkd2/Dnaja4/Pten/Tesk1/Pik3cb/Prkd1",9
"GO:0090132","GO:0090132","epithelium migration","9/176","315/28814",0.000146548261129536,0.0233054030919379,0.0200752727244949,"Nos3/Scarb1/Map3k3/Prkd2/Dnaja4/Pten/Tesk1/Pik3cb/Prkd1",9
