"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Zfp652",4.71677703151194,-7.04322605696583,2.5573605551367,-2.75409974663871,0.00588538281816689,0.999677319386021
"2","Ampd2",4.75372235708618,-6.874095697204,3.39953497560721,-2.02206941435459,0.0431691812544984,0.999677319386021
"3","Slc2a12",4.21948756549441,-6.86691788053175,3.39961505431739,-2.01991042244945,0.0433926800002997,0.999677319386021
"4","Shq1",4.16025316025219,-6.84585526209826,3.39985231775906,-2.01357430331285,0.0440542465848829,0.999677319386021
"5","E030024N20Rik",3.72219265874724,-6.68290971675937,3.40180786937287,-1.9645170960203,0.0494701556625116,0.999677319386021
"6","Ints12",3.89750392803124,-6.67459024017102,1.36637420113355,-4.88489188000897,1.03485624915346e-06,0.0116680042092053
"7","Sned1",3.63400067137712,-6.66912667380939,3.4019834758567,-1.96036421726885,0.0499532350862765,0.999677319386021
"8","Gm5141",5.48603271316618,-6.53104696934868,2.25689547488726,-2.89381898365272,0.00380587499174239,0.999677319386021
"9","Pgm3",3.11927879417082,-6.42431295063594,3.23450342659989,-1.98618214400508,0.0470131027963776,0.999677319386021
"10","Ylpm1",3.02655009335926,-6.40323600530727,2.86867449720327,-2.23212358584075,0.0256067959896104,0.999677319386021
"11","Zfp420",2.84646348335223,-6.31744727399037,2.83125703343613,-2.23132241240678,0.0256597801191914,0.999677319386021
"12","Nupl1",2.77671366321032,-6.25625976108036,2.6947845413121,-2.32161780104103,0.0202535245215093,0.999677319386021
"13","Ttl",3.32876643036978,-6.23259869984618,2.12119900593082,-2.93824326827421,0.00330077910667741,0.999677319386021
"14","Edc4",3.48746263331291,-6.13529589627396,1.45178703727883,-4.22603022256881,2.37850060613873e-05,0.134087971671071
"15","Sh3tc2",3.73296073825321,-6.08102038690908,2.21376498684298,-2.74691325549472,0.00601590433349701,0.999677319386021
"16","B230312A22Rik",2.96536636323207,-6.03338522558215,2.44020542118397,-2.47249070639913,0.0134175202250914,0.999677319386021
"17","Tead4",2.30655189762801,-5.99888406259005,1.7733292504989,-3.38283714707934,0.000717411600616004,0.791708555857669
"18","Pcgf3",2.0989465820772,-5.88636706992585,1.82777626471327,-3.22050744588768,0.00127963868520557,0.901745385980797
"19","Alg10b",1.91564167710885,-5.6860883834696,1.93066164179215,-2.94515012904666,0.00322797993054746,0.999677319386021
"20","Egfl8",2.35225114655572,-5.66574329617217,1.70380842901221,-3.32534057215393,0.000883105894548946,0.791708555857669
"21","Ddit4l",3.9136168564716,-5.63631959950151,1.40654099135407,-4.00722029016405,6.14375548981689e-05,0.173177107869214
"22","Nrip1",3.24402083848521,-5.62974699816428,1.49908601630909,-3.75545294727338,0.00017302826735557,0.329890895582426
"23","Rbm41",4.30324661735577,-5.4239094700809,2.33012883841942,-2.32772942879848,0.0199264754520756,0.999677319386021
"24","Prkd1",1.42162572581343,-5.41002350490072,2.67659918356389,-2.02123035011065,0.0432559253098544,0.999677319386021
"25","Rad54l",1.42162572581343,-5.41002350490072,2.67659918356389,-2.02123035011065,0.0432559253098544,0.999677319386021
"26","Mfap3",1.45360026855085,-5.37128310480626,2.38827148124253,-2.24902535033906,0.0245108832710558,0.999677319386021
"27","Rhod",1.46040220709503,-5.36855282048005,2.20722249599376,-2.43226626686902,0.0150046723155024,0.999677319386021
"28","BC057079",4.90899028580955,-5.35564392999798,2.6255991647826,-2.0397797203144,0.0413722705576108,0.999677319386021
"29","Cables1",1.44529568149943,-5.35286541515125,2.40691416267629,-2.22395359924232,0.0261515662879956,0.999677319386021
"30","Pkia",1.72182152255451,-5.3525217058422,2.10724290769115,-2.54005918648782,0.0110833711020807,0.999677319386021
"31","E130112N10Rik",1.46958753991956,-5.33983671561027,2.68472941021805,-1.98896644678116,0.0467049065998598,0.999677319386021
"32","Pcdhga10",1.46958753991956,-5.33983671561027,2.68472941021805,-1.98896644678116,0.0467049065998598,0.999677319386021
"33","Serpina3c",1.46958753991956,-5.33983671561027,2.68472941021805,-1.98896644678116,0.0467049065998598,0.999677319386021
"34","Foxk1",1.34816554074871,-5.31403543894786,2.48939374999065,-2.13467051524807,0.0327879330411289,0.999677319386021
"35","Zfc3h1",3.00770161782057,-5.28931974931034,1.56966302649085,-3.36971672266192,0.00075245494397294,0.791708555857669
"36","Wdr4",1.40235949899298,-5.28736759776103,2.46746349050857,-2.14283519010498,0.032126334541622,0.999677319386021
"37","4933403F05Rik",1.28181824559524,-5.21508632669708,2.54984081572742,-2.0452595685701,0.0408292745018977,0.999677319386021
"38","Traf3ip1",1.27470535568399,-5.18165501220481,2.56563665075816,-2.0196371184024,0.0434210420086652,0.999677319386021
"39","1300018J18Rik",2.43008441885301,-5.17114522110522,1.78439819002245,-2.89797717237102,0.00375577925128148,0.999677319386021
"40","Dnttip1",1.27589705282417,-5.16761478795323,2.57237288552465,-2.00889024178128,0.0445487750264411,0.999677319386021
