"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Ankrd37",4.02907854844044,4.12891087295788,1.34835079651583,3.06219337254598,0.00219721459368332,0.999677319386021
"2","Irf2",3.07454195383006,3.82494682833546,1.3033494123739,2.93470560697055,0.00333864280026384,0.999677319386021
"3","Polr3b",1.88159526343231,3.75173161503797,1.73535902452694,2.16193396410331,0.0306232665928502,0.999677319386021
"4","Dcun1d3",2.30351930136227,3.70042959883042,1.54273502357638,2.39861644564992,0.0164571429264389,0.999677319386021
"5","Gngt2",2.81634858733206,3.66624307854438,1.63676574921401,2.23993145036481,0.0250953734923161,0.999677319386021
"6","Ttc32",2.40112722868321,3.46047831514172,1.61901747131551,2.1373940531537,0.0325659547024502,0.999677319386021
"7","Mettl5",2.73784775340277,3.38272513410474,1.55850638063409,2.17049168109819,0.0299696181579468,0.999677319386021
"8","Ddhd2",2.73714076131437,3.36388295506976,1.43997711237886,2.33606695978145,0.0194877519788923,0.999677319386021
"9","Mettl21d",3.37152456687673,3.21525918745973,1.39807475183752,2.29977630540416,0.0214608965144908,0.999677319386021
"10","Dennd4c",2.50015927963522,3.15998839588028,1.51254359743105,2.08918830587581,0.0366907756911054,0.999677319386021
"11","2010107E04Rik",2.48353244294379,3.04909066123744,1.48511993205727,2.05309389189443,0.0400634722511872,0.999677319386021
"12","Pldn",2.46793964744688,3.04389598578648,1.4381881799029,2.11647962924573,0.0343040359370962,0.999677319386021
"13","Nat6",3.07805351694201,2.99957023337602,1.3703034267912,2.18898250907832,0.028598111330331,0.999677319386021
"14","Psenen",3.40971894862497,2.99195021679388,1.23813578345019,2.41649603927648,0.0156706967209631,0.999677319386021
"15","Gstt2",2.92500689322562,2.92493865756408,1.35467453085233,2.15914493920822,0.030838924154913,0.999677319386021
"16","Ino80d",2.39818193081791,2.82187533129476,1.41397775635331,1.99569994550158,0.0459665930256606,0.999677319386021
"17","Maff",2.6408381069625,2.80490357489974,1.41843325253296,1.97746603154635,0.0479889764801073,0.999677319386021
"18","Tmsb10",4.58221713343026,2.75102039139193,1.06346067090319,2.58685672790843,0.00968558554610343,0.999677319386021
"19","Samd9l",3.63321994373404,2.69929277273684,1.20562863379589,2.23890897832958,0.0251618391848089,0.999677319386021
"20","Atp11b",3.03131545928911,2.66483035414243,1.28713591914901,2.07035660686424,0.0384189622319563,0.999677319386021
"21","Ercc1",3.14445526077819,2.56569404263132,1.29926553608908,1.97472646765827,0.0482991976156764,0.999677319386021
"22","Snrpc",3.17805086727176,2.51234835086352,1.23724038322465,2.0306064891897,0.0422949289297417,0.999677319386021
"23","Lamtor2",3.30405639376014,2.50333717039662,1.22158837243451,2.04924770641662,0.0404378992865239,0.999677319386021
"24","Atp5l",3.72997438908823,2.41666699914402,1.15106389948647,2.09950724735802,0.0357722096246947,0.999677319386021
"25","Ubl5",3.70312455578843,2.23612048772038,1.08036258077947,2.06978705806994,0.0384722898550786,0.999677319386021
"26","Pttg1",3.85164850472554,2.21786145744992,1.05931329536722,2.09367848694949,0.0362886305929614,0.999677319386021
"27","H2afz",4.21399618666785,2.10918607471328,0.984666539543601,2.14203081958173,0.0321910020681324,0.999677319386021
"28","Sub1",4.12424492007488,2.05492926154417,1.02366742601145,2.0074188250288,0.0447050860243034,0.999677319386021
"29","Tomm6",4.23876447214227,1.97388826006016,0.979358943311593,2.01549010558445,0.0438533217528053,0.999677319386021
"30","Rnaset2b",4.21011910160252,1.92145753162566,0.951591857675377,2.01920341806996,0.0434660812157497,0.999677319386021
"31","Ier3",4.00793403702003,1.91737995408755,0.974600078234351,1.96735050294804,0.0491428164823,0.999677319386021
"32","Vwf",6.16832757170453,1.74306795599832,0.888359709438024,1.96211955301415,0.0497485670006989,0.999677319386021
"33","Rbx1",4.94552160393088,1.71728229518195,0.852660714311187,2.0140276974872,0.0440066256092798,0.999677319386021
"34","Srp14",5.68558888266863,1.61179071303323,0.787858944110184,2.04578589236377,0.0407774406387525,0.999677319386021
"35","Pfn1",7.57113247623086,1.53392015321339,0.637454066800241,2.40632264048929,0.0161140263333192,0.999677319386021
"36","Gpx4",8.27677914169558,1.28998748252338,0.575339262043362,2.24213358556809,0.0249527399353837,0.999677319386021
"37","Sod1",7.90633227218824,1.16062298246771,0.578226272477364,2.0072124663155,0.0447270447938436,0.999677319386021
"38","B2m",8.81486846873168,1.05125773545135,0.501573245718401,2.09592067444833,0.0360892283819568,0.999677319386021
"39","Myl12b",9.334946212495,0.971005595917712,0.488009662597844,1.98972616802035,0.046621108450054,0.999677319386021
"40","Cfl1",11.2017284852798,0.905518574660288,0.412172076803372,2.19694303816769,0.0280245146012838,0.999677319386021
"41","Tmsb4x",12.8700019492785,0.882686738766683,0.401379005777831,2.19913529621742,0.0278683034401641,0.999677319386021
