"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010639","GO:0010639","negative regulation of organelle organization","7/36","373/28814",3.4795715267797e-07,0.000186494627719571,0.00013951600749627,"Tmsb10/Ercc1/Pttg1/Ier3/Pfn1/Cfl1/Tmsb4x",7
"GO:0042989","GO:0042989","sequestering of actin monomers","3/36","12/28814",3.9097406230518e-07,0.000186494627719571,0.00013951600749627,"Tmsb10/Pfn1/Tmsb4x",3
"GO:0030837","GO:0030837","negative regulation of actin filament polymerization","4/36","68/28814",1.57821793989241e-06,0.000501873304885788,0.000375449741490195,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0032272","GO:0032272","negative regulation of protein polymerization","4/36","84/28814",3.68645342141686e-06,0.000879219141007922,0.000657740899926482,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0051258","GO:0051258","protein polymerization","5/36","276/28814",2.2990835124264e-05,0.00438665134170956,0.0032816392030002,"Tmsb10/Pfn1/Gpx4/Cfl1/Tmsb4x",5
"GO:0030833","GO:0030833","regulation of actin filament polymerization","4/36","146/28814",3.28441687331537e-05,0.00522222282857144,0.00390672743878565,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly","4/36","152/28814",3.8443549272868e-05,0.00523930657233087,0.00391950773037662,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","4/36","165/28814",5.29351036474202e-05,0.0055429407334297,0.00414665543116555,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0030832","GO:0030832","regulation of actin filament length","4/36","168/28814",5.6777282802772e-05,0.0055429407334297,0.00414665543116555,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0030041","GO:0030041","actin filament polymerization","4/36","169/28814",5.8102104124001e-05,0.0055429407334297,0.00414665543116555,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","4/36","176/28814",6.80172325997481e-05,0.00564953963940337,0.00422640171633619,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","4/36","178/28814",7.10633916906084e-05,0.00564953963940337,0.00422640171633619,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0032507","GO:0032507","maintenance of protein location in cell","3/36","69/28814",8.86657178560234e-05,0.0065066996026651,0.0048676402191404,"Tmsb10/Pfn1/Tmsb4x",3
"GO:0008154","GO:0008154","actin polymerization or depolymerization","4/36","198/28814",0.000107254486966249,0.00730862718327153,0.00546755956113659,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0032271","GO:0032271","regulation of protein polymerization","4/36","209/28814",0.000132069190718071,0.00839960052966932,0.00628371307416506,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0006749","GO:0006749","glutathione metabolic process","3/36","81/28814",0.000142907761466438,0.00852087527743638,0.00637443830751613,"Gstt2/Gpx4/Sod1",3
"GO:0098885","GO:0098885","modification of postsynaptic actin cytoskeleton","2/36","16/28814",0.000180126182424379,0.0101082575313446,0.0075619536646272,"Pfn1/Cfl1",2
"GO:0045185","GO:0045185","maintenance of protein location","3/36","102/28814",0.000282460779787751,0.0142750724276692,0.0106791339578061,"Tmsb10/Pfn1/Tmsb4x",3
"GO:1904505","GO:1904505","regulation of telomere maintenance in response to DNA damage","2/36","20/28814",0.000284304377490266,0.0142750724276692,0.0106791339578061,"Ino80d/Ercc1",2
"GO:0045116","GO:0045116","protein neddylation","2/36","21/28814",0.000313984268649552,0.0149770496145836,0.0112042807444419,"Dcun1d3/Rbx1",2
"GO:0110053","GO:0110053","regulation of actin filament organization","4/36","276/28814",0.000381153960799131,0.0173152799334463,0.0129535030286622,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0099010","GO:0099010","modification of postsynaptic structure","2/36","26/28814",0.00048402252690314,0.0209889768484362,0.0157017834086282,"Pfn1/Cfl1",2
"GO:0043247","GO:0043247","telomere maintenance in response to DNA damage","2/36","28/28814",0.000562071591758729,0.0233137521103403,0.0174409400097217,"Ino80d/Ercc1",2
"GO:0099563","GO:0099563","modification of synaptic structure","2/36","34/28814",0.000830263916250235,0.0330029906709468,0.0246894269832307,"Pfn1/Cfl1",2
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","4/36","366/28814",0.00109418203778107,0.0417539865617255,0.0312360177522343,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0032232","GO:0032232","negative regulation of actin filament bundle assembly","2/36","40/28814",0.00114895302466518,0.0421577379050222,0.0315380627823072,"Pfn1/Cfl1",2
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","4/36","388/28814",0.00135655383240699,0.0479315687450468,0.0358574463302899,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0032535","GO:0032535","regulation of cellular component size","4/36","393/28814",0.00142181662706896,0.0484433236508496,0.0362402884643893,"Tmsb10/Pfn1/Cfl1/Tmsb4x",4
"GO:0060261","GO:0060261","positive regulation of transcription initiation from RNA polymerase II promoter","2/36","46/28814",0.00151741121901476,0.0499175966531062,0.0373431871684939,"Ercc1/Sub1",2
