"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","29/531","430/28814",2.53644625582453e-09,1.07849694797659e-05,8.3142038322501e-06,"Cav1/Trim25/Hfe/Psmd2/Dab2/Fbxo22/Armc8/Dnajc10/Dcaf12/Itch/Wwp2/Stt3b/Mapk9/Trim3/Amfr/Rnf4/Edem3/Fem1c/Siah2/Fbxl7/Man1a/Clec16a/Glmn/Ubqln4/Epm2a/Gna12/Fem1a/Hace1/Fbxl18",29
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","25/531","352/28814",1.15976386074004e-08,2.46565796793333e-05,1.90079192754973e-05,"Cav1/Insr/Rasip1/Lats2/Map3k1/Akap13/Ccny/Irgm1/Dab2/Fzd4/Adam17/Pten/Ccni/Heg1/Ppp2ca/Pkd2/Tpd52l1/Chordc1/Lrp5/Prkag2/Fem1a/Pdgfrb/Sfrp2/Paqr3/Fzd8",25
"GO:0034504","GO:0034504","protein localization to nucleus","23/531","320/28814",3.59078798705151e-08,5.089343506981e-05,3.92340834795733e-05,"Jup/Paf1/Lats2/Cav2/Txnip/Tor1aip2/Tnpo3/Srsf1/Ppp2ca/Ei24/Elavl1/Fyn/Eif4enif1/Nup54/Sun2/Mapk1/Tnpo1/Nupl1/Supt7l/Ipo4/Epm2a/Nup107/F2",23
"GO:0042176","GO:0042176","regulation of protein catabolic process","25/531","393/28814",9.94113601537991e-08,0.000105674275843488,8.14649935576133e-05,"Cav1/Atg4b/Hfe/Psmd2/Psme3/Dab2/Fbxo22/Pten/Ppp2ca/Fyn/Itch/Gja1/Wwp2/Mapk9/Odc1/Rhbdd1/Ophn1/Rhbdf1/Serpine2/Clec16a/Glmn/Ubqln4/Epm2a/Gna12/Hace1",25
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","25/531","406/28814",1.84335429035641e-07,0.000156758848851909,0.000120846426529892,"Serinc3/Cav1/Mcl1/Ltbr/Hif1a/Psme3/Acsl5/Dab2/Ghitm/Pten/Traf7/Ivns1abp/Steap3/Nono/Tpd52l1/Ei24/Fyn/Mapk9/Cx3cl1/Ppp2r1b/Trp53inp1/Siah2/Ikbkg/Sfrp2/Serpine1",25
"GO:0062197","GO:0062197","cellular response to chemical stress","22/531","336/28814",3.56826011803571e-07,0.000252870700364797,0.000194939684343214,"Slc1a1/Cav1/Mcl1/Hif1a/Fut8/Serpinb6b/Net1/Letm1/Nono/Pkd2/Fyn/Mapk1/Mapk9/Trp53inp1/Lonp1/Vkorc1l1/Slc11a2/Ermp1/Lrrc8d/Capn1/Pdgfrb/Tsc1",22
"GO:0009100","GO:0009100","glycoprotein metabolic process","21/531","332/28814",1.14693898736324e-06,0.000617076835157456,0.000475708586592147,"Insr/Mgat2/Hif1a/Fut8/St6galnac4/Slc39a8/Tm9sf2/Arfgef1/Tmem165/Stt3b/Tusc3/Fkrp/Galnt2/Ndst1/Edem3/Gnptab/Man1a/Mogs/Tnip1/Dcn/C1galt1",21
"GO:0045765","GO:0045765","regulation of angiogenesis","20/531","307/28814",1.30784463862491e-06,0.000617076835157456,0.000475708586592147,"Col4a2/Rhoj/Foxc1/Ptprm/Adamts1/Jup/Tgfbr2/Add1/Hif1a/Stab1/Notch4/Tspan12/Cx3cl1/Ism1/Plcg1/Pak4/Itga5/Dcn/Sfrp2/Serpine1",20
"GO:0033212","GO:0033212","iron import into cell","5/531","12/28814",1.48448773825747e-06,0.000617076835157456,0.000475708586592147,"Slc39a8/Hfe/Steap3/Slc11a2/Steap4",5
"GO:0051170","GO:0051170","import into nucleus","15/531","182/28814",1.58520273816175e-06,0.000617076835157456,0.000475708586592147,"Jup/Rab18/Txnip/Tnpo3/Ppp2ca/Ei24/Elavl1/Eif4enif1/Nup54/Mapk1/Tnpo1/Nupl1/Ipo4/Epm2a/Nup107",15
