"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005769","GO:0005769","early endosome","22/530","327/28739",2.26982243077674e-07,0.000102595973871109,7.7651820000257e-05,"Slc1a1/Myo1b/Hfe/Pmepa1/Ehd2/Tpd52l1/Rab5b/Gpr107/Itch/Gja1/Ldlrap1/Mapk1/Vps26a/Snx19/Ankrd27/Rab22a/Kcnq1/Siah2/Numb/Slc11a2/Abcb6/Wdr81",22
"GO:0045121","GO:0045121","membrane raft","23/530","393/28739",1.37949570084682e-06,0.000146854650352471,0.000111149886736267,"Scarb1/Slc1a1/Cav1/Insr/Tgfbr2/Cav2/Ehd2/Adam17/Serpinh1/Orai1/Ppp2ca/Lipe/Cpe/Atp1a1/Fyn/Pacsin2/Gja1/Mapk1/Ppp2r1b/Kcnq1/Itpr1/Myadm/Atp1a2",23
"GO:0098857","GO:0098857","membrane microdomain","23/530","394/28739",1.44028820134984e-06,0.000146854650352471,0.000111149886736267,"Scarb1/Slc1a1/Cav1/Insr/Tgfbr2/Cav2/Ehd2/Adam17/Serpinh1/Orai1/Ppp2ca/Lipe/Cpe/Atp1a1/Fyn/Pacsin2/Gja1/Mapk1/Ppp2r1b/Kcnq1/Itpr1/Myadm/Atp1a2",23
"GO:0045177","GO:0045177","apical part of cell","26/530","487/28739",1.59873683256299e-06,0.000146854650352471,0.000111149886736267,"Slc1a1/Cav1/Slco2b1/Stx3/Myo1b/Slc39a8/Hfe/Anxa4/Dab2/Adam17/Pten/Osmr/Atp1a1/Abcc6/Gja1/Ap2a1/Kcnq1/Sipa1l3/Numb/Srr/Pard3b/Slc11a2/Pdgfrb/Enpep/Slc6a20a/Slc2a2",26
"GO:0005901","GO:0005901","caveola","11/530","96/28739",1.62449834460698e-06,0.000146854650352471,0.000111149886736267,"Scarb1/Cav1/Insr/Tgfbr2/Cav2/Ehd2/Lipe/Atp1a1/Pacsin2/Mapk1/Atp1a2",11
"GO:0016324","GO:0016324","apical plasma membrane","21/530","369/28739",6.07639045079183e-06,0.000457754747292985,0.000346460859036377,"Slc1a1/Cav1/Slco2b1/Stx3/Slc39a8/Anxa4/Dab2/Adam17/Pten/Osmr/Atp1a1/Abcc6/Gja1/Ap2a1/Kcnq1/Pard3b/Slc11a2/Pdgfrb/Enpep/Slc6a20a/Slc2a2",21
"GO:0044853","GO:0044853","plasma membrane raft","12/530","136/28739",8.74631498481931e-06,0.000564762053305475,0.000427451484220493,"Scarb1/Cav1/Insr/Tgfbr2/Cav2/Ehd2/Orai1/Lipe/Atp1a1/Pacsin2/Mapk1/Atp1a2",12
"GO:0005776","GO:0005776","autophagosome","9/530","87/28739",3.30320820291697e-05,0.00186631263464809,0.00141255613940528,"Tbc1d14/Irgm1/Rab12/Ncoa4/Trp53inp2/Pik3c3/Trp53inp1/Ubqln4/Wdr81",9
"GO:0055037","GO:0055037","recycling endosome","12/530","159/28739",4.19371102215132e-05,0.00195799505060812,0.00148194781427023,"Slc1a1/Hfe/Tbc1d14/Ehd2/Rab12/Scamp1/Pacsin2/Ldlrap1/Atp11c/Avl9/Slc11a2/Rep15",12
"GO:0030667","GO:0030667","secretory granule membrane","9/530","90/28739",4.3318474570976e-05,0.00195799505060812,0.00148194781427023,"Cav1/Stx3/Cav2/Cyb561/Scamp1/Cpe/Kcnq1/Itpr1/Tmem190",9
