"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Iapp",4.98033998813316,-6.85028857667525,3.39642298159226,-2.01691267954612,0.0437046266325476,0.341537962778771
"2","Ptgfr",4.88607643831886,-6.82467125537827,3.39665573373988,-2.00923254823473,0.0445124774412187,0.341537962778771
"3","Ins1",4.80043031957602,-6.79647397630903,3.39691670151584,-2.00077734413569,0.0454163899981868,0.345073528906045
"4","Pcdhgb6",4.70303002574791,-6.77895556245331,2.88026002958126,-2.35359151355472,0.0185930305825381,0.247773921220035
"5","Bmp1",4.74946630823497,-6.76131461438972,1.45275394106238,-4.65413613639572,3.25341805996059e-06,0.00424362552036031
"6","Slc43a3",6.43716252336956,-6.43416054872812,1.36138295273569,-4.7261944449934,2.2876660061027e-06,0.00390218628990969
"7","Pnma1",3.27049859806879,-6.23792592644568,1.73605513727335,-3.59316118049278,0.000326690364238663,NA
"8","Hyls1",4.61853464623434,-6.23652270913137,1.50339906197188,-4.14828162853278,3.34980160749503e-05,0.0163254974056704
"9","Acvr1b",3.16546638388886,-6.17326374944558,1.79779067349939,-3.43380563735452,0.00059517079540422,NA
"10","Fzd8",2.96798942585197,-6.07178912462984,1.72543334573601,-3.51899372968234,0.000433186945892847,NA
"11","Mir3098",2.78495367349222,-6.03396361085963,1.85475544811628,-3.25323945913614,0.00114097303116607,NA
"12","Noa1",7.11139632404631,-6.03009360107752,1.9269587128546,-3.12933201985658,0.00175204215883289,0.116723878185375
"13","Fstl3",2.55174297465086,-5.87719091077172,2.02661600981089,-2.9000022117264,0.0037316002701063,NA
"14","BC022687",2.54271235801087,-5.86129091752474,2.18955623638143,-2.67693097812889,0.00742999394412774,NA
"15","Gm505",2.36223453026754,-5.85219363612602,2.28236633110905,-2.56409041631907,0.0103446592649177,NA
"16","4921530D09Rik",2.50982062141592,-5.83663833256942,2.45690130046314,-2.37560960689352,0.0175199881349642,NA
"17","Wdr31",2.50982062141592,-5.83663833256942,2.45690130046314,-2.37560960689352,0.0175199881349642,NA
"18","Rmrp",2.46958380219797,-5.79938861382543,2.47861413744143,-2.33977065095412,0.0192955850827528,NA
"19","Usp28",2.36487733048113,-5.73158463200476,2.11200271695986,-2.71381498990453,0.00665133011084716,NA
"20","Paqr3",2.27571602092528,-5.73001591291242,2.09795461414664,-2.73123921474496,0.00630966549614689,NA
"21","Pou2af1",6.26382735193639,-5.72457402241736,2.73150778831695,-2.09575606809623,0.0361038353151256,0.313723891390896
"22","Pcdhb7",2.4236630431027,-5.68922357236698,2.0743216948332,-2.74269106211341,0.00609379873525269,NA
"23","C330013E15Rik",2.26312855060229,-5.68586228100627,2.32437744933838,-2.44618716406181,0.0144376030173176,NA
"24","D8Ertd82e",2.16449500368741,-5.66811769310029,2.11169781671003,-2.68415189344235,0.00727140622243994,NA
"25","A330049N07Rik",2.23095166348081,-5.66712256256821,2.59426543418633,-2.18448061940341,0.0289269498765274,NA
"26","CK137956",2.23095166348081,-5.66712256256821,2.59426543418633,-2.18448061940341,0.0289269498765274,NA
"27","Mir331",2.23095166348081,-5.66712256256821,2.59426543418633,-2.18448061940341,0.0289269498765274,NA
"28","Pcdhb16",2.23095166348081,-5.66712256256821,2.59426543418633,-2.18448061940341,0.0289269498765274,NA
"29","Pcdhga3",2.23095166348081,-5.66712256256821,2.59426543418633,-2.18448061940341,0.0289269498765274,NA
"30","AU019990",2.15891602268567,-5.66547543861085,2.61887413507348,-2.16332482830523,0.0305162047592133,NA
"31","Slc2a2",2.17374652600065,-5.66516045393796,2.3213165201742,-2.44049460928871,0.014667164853844,NA
"32","Top1mt",2.21294275328203,-5.66103009820767,2.35298241410088,-2.40589562602866,0.0161328731869056,NA
"33","Rep15",6.70146759058613,-5.61059464722925,1.76977095149528,-3.17023773188777,0.0015231426445765,0.108536874979787
"34","A930019D19Rik",2.16088582692323,-5.60734939379362,2.63630811916884,-2.12697042239565,0.0334225408124723,NA
"35","Gm11944",2.16088582692323,-5.60734939379362,2.63630811916884,-2.12697042239565,0.0334225408124723,NA
"36","Tmem190",2.16088582692323,-5.60734939379362,2.63630811916884,-2.12697042239565,0.0334225408124723,NA
"37","Serpine1",1.94850434081286,-5.56456344478584,2.71582543686564,-2.0489400273119,0.0404679796684016,NA
"38","1700096J18Rik",1.85885974766798,-5.47916654780135,2.48155764475274,-2.20795457215635,0.0272474400608354,NA
"39","4930432K21Rik",1.95208270554571,-5.47482336190244,2.7594069652883,-1.98405796273346,0.0472493786775363,NA
"40","Fam151a",1.95208270554571,-5.47482336190244,2.7594069652883,-1.98405796273346,0.0472493786775363,NA
"41","Sfrp2",1.8770368592039,-5.46843786061036,2.56164425877392,-2.13473742182597,0.0327824644259482,NA
"42","Zfp953",1.8770368592039,-5.46843786061036,2.56164425877392,-2.13473742182597,0.0327824644259482,NA
