"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Cdk20",4.95840687616183,5.12603955207242,1.41211698999784,3.63003886248848,0.000283378550742714,0.046591144296245
"2","Ccdc45",4.18020024447269,4.86354091883627,1.59249420949576,3.05403993925745,0.00225782020115096,0.124234735745589
"3","Nhedc2",3.75387989060429,4.78190883244676,1.49146918868179,3.20617339515621,0.0013451290682693,NA
"4","Bcl2l12",9.04518614990655,4.69661275483299,1.13822682894674,4.12625377946766,3.687203717674e-05,0.0167718606437931
"5","Sass6",4.28795730820379,4.61517347784397,1.51730159722123,3.04169816093,0.00235247662847404,0.125398031531862
"6","Rfc4",4.10726808108393,4.55405516599483,1.59832263263591,2.84927152566464,0.0043819465789636,0.157706398072698
"7","Lrrc39",2.98583925664331,4.40401552188223,1.68442925490672,2.61454466493822,0.00893464777015507,NA
"8","Dut",2.8037351470657,4.37665387978922,1.85609165454555,2.35799448215332,0.0183739660683026,NA
"9","AA960436",2.86892064865262,4.35168971746622,1.69245339028442,2.57123164658314,0.0101337518402227,NA
"10","Ncapd2",2.84906764101885,4.34632683541401,1.92985258580367,2.25215483679238,0.0243124889403749,NA
"11","Rpusd3",4.02835273938426,4.34235132727555,1.4365706830684,3.0227202729772,0.00250513690409881,NA
"12","Pf4",2.77082254969804,4.30605482236321,1.94561943839317,2.21320507874831,0.0268835101217448,NA
"13","Frmd6",2.74054327603354,4.29909450828002,1.70272366712607,2.5248339418082,0.0115752971000324,NA
"14","Wdr89",5.12612344734345,4.294401901285,1.3246829465691,3.24183376286939,0.0011876327646458,0.100871604742108
"15","Tnfsf13",2.62816113325975,4.28576237379319,1.91865099729741,2.23373733932334,0.0255003606187314,NA
"16","1810048J11Rik",4.5611555019235,4.28018166404067,1.52878571277998,2.79972636338778,0.00511459423545509,0.16460790787033
"17","Limd2",5.56914689986221,4.27419539374744,1.22326268892413,3.49409446756413,0.000475672669662845,0.0636375416688155
"18","Zscan22",5.08767823542103,4.26696728518884,1.32064642148496,3.23096872544507,0.00123371438033661,0.102654063622398
"19","1110012L19Rik",4.438919811374,4.22298025032205,1.36103348202436,3.10277469738725,0.00191715532617252,0.119179764331586
"20","2010321M09Rik",4.89515346730702,4.20145974426679,1.3812289350194,3.04182720021557,0.00235146842959794,0.125398031531862
"21","Sms",2.45718628188724,4.14288942516279,1.81017557098162,2.28866718321483,0.0220986971386716,NA
"22","Cryl1",2.38532165686433,4.11731515108816,1.80693267205469,2.27862123186156,0.0226895907107984,NA
"23","Gm14207",6.26954609951019,4.11057889915435,1.27496623905179,3.22406882099988,0.0012638302255913,0.103554696965755
"24","LOC100503496",2.42794557251861,4.10002595520036,1.94317749769513,2.10995956883174,0.0348618385559032,NA
"25","4930481A15Rik",2.43364657029212,4.08619753769627,1.93642109968672,2.11018023835691,0.0348428340258143,NA
"26","Nucb2",4.19661496926192,4.08115119054704,1.49827726560867,2.72389582637702,0.00645168529442646,0.177664186402751
"27","0610007N19Rik",2.44457141811674,4.06304005115806,1.77964316227699,2.28306445768574,0.0224265717848375,NA
"28","Plag1",2.36475675894717,4.06089773819064,1.95777186642171,2.07424460829182,0.0380565992757234,NA
"29","6720401G13Rik",3.20630750851204,3.96376184557592,1.661959993781,2.38499233459781,0.0170794772276534,NA
"30","Gm609",2.12692917517232,3.92219612566505,1.96302747403994,1.99803424941022,0.0457129471162672,NA
"31","Zfp428",2.08506040112113,3.90925872747444,1.93893470447499,2.01618895079448,0.0437802213789653,NA
"32","Slc26a2",3.57542754702844,3.9000320086244,1.78145829111088,2.18923565490406,0.0285797164003886,NA
"33","Gm17762",3.13463442714058,3.64041936280489,1.75743589031905,2.07143793003112,0.0383178893576862,NA
"34","Ripply3",14.3218447663048,3.63285313303246,0.786633317652917,4.6182294234267,3.87028215542431e-06,0.00424362552036031
"35","Rdh13",2.85174495013061,3.6292298183284,1.63491645770329,2.21982585179104,0.0264305913461244,NA
"36","Tmem219",8.83196225596854,3.5539275908753,1.06373604719691,3.34098632855433,0.000834813336523929,0.0850139014194443
"37","Ift46",2.62342547747595,3.54947171547644,1.65504157164716,2.1446420297128,0.0319814791352113,NA
"38","Zc3h12a",2.63223017043905,3.5432642673242,1.72754636959268,2.05103858842274,0.0402631889939215,NA
"39","Gm106",3.32977530624492,3.50321922576665,1.62411617161535,2.15700039627235,0.0310056335677196,NA
"40","Zfp105",2.90900422842703,3.47594240564755,1.64418813838203,2.1140782642235,0.0345085833066926,NA
"41","Ercc6",2.47472059512523,3.44958236580401,1.68914785203792,2.0422027365113,0.0411314251585517,NA
"42","Rangrf",4.18997570335881,3.43047967016957,1.56338784328737,2.19426016704609,0.0282167113170117,0.288207516940076
"43","D3Ertd751e",3.21041933276468,3.38361384539319,1.67671704039929,2.01799931882807,0.0435913322678636,NA
"44","Zfp691",3.79082339865923,3.34995295255737,1.41389045269785,2.36931577419263,0.0178210308527978,NA
"45","1110001J03Rik",6.85923622407305,3.33674600824564,1.14326823331149,2.91860292363825,0.0035160378189553,0.151834974928684
"46","2700050L05Rik",2.57197963775495,3.3318916057459,1.66585720456669,2.00010636962883,0.0454887791199187,NA
