"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","17/397","58/28814",1.94870490242115e-18,3.5105918817117e-15,2.90767284124419e-15,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa6/Ndufa2",17
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","17/397","58/28814",1.94870490242115e-18,3.5105918817117e-15,2.90767284124419e-15,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa6/Ndufa2",17
"GO:0046034","GO:0046034","ATP metabolic process","28/397","263/28814",6.81260385296687e-17,8.18193722741321e-14,6.77674804321441e-14,"Ndufa12/Gadd45gip1/Atp5l/Atpif1/Sdhd/Atp5g3/Ndufc2/Sdhc/Atp5j2/Atp5g1/Bad/Fis1/Ndufs6/Atp5h/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Atp5g2/Ndufa8/Cox5b/Atp5e/Atp5j/Park7/Tspo/Cox5a/Ldha",28
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","18/397","93/28814",6.18641007157861e-16,5.57240887197443e-13,4.61538751392773e-13,"Ndufc1/Ndufa12/Ndufb4/Chchd4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa6/Ndufa2",18
"GO:0006119","GO:0006119","oxidative phosphorylation","19/397","116/28814",2.45916612255691e-15,1.77207510791451e-12,1.46773388577871e-12,"Ndufa12/Gadd45gip1/Sdhd/Ndufc2/Sdhc/Atp5j2/Ndufs6/Atp5h/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Atp5e/Atp5j/Park7/Cox5a",19
"GO:0045333","GO:0045333","cellular respiration","24/397","223/28814",9.1791818194438e-15,5.512098682576e-12,4.56543516809179e-12,"Ndufa12/Chchd4/Gadd45gip1/Sdhd/Prdm16/Ndufc2/Bloc1s1/Sdhc/Atp5j2/Ndufa5/Ndufs6/Atp5h/Uqcrh/Cox7a2/Bax/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Atp5e/Atp5j/Park7/Cox5a",24
"GO:0009060","GO:0009060","aerobic respiration","20/397","165/28814",1.68824364935343e-13,8.68963124088629e-11,7.1972492419804e-11,"Ndufa12/Gadd45gip1/Sdhd/Ndufc2/Bloc1s1/Sdhc/Atp5j2/Ndufs6/Atp5h/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Atp5e/Atp5j/Park7/Cox5a",20
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","26/397","312/28814",3.04232875176732e-13,1.37018881157721e-10,1.13486868569215e-10,"Ndufa12/Chchd4/Gadd45gip1/Sdhd/Prdm16/Ndufc2/Bloc1s1/Sdhc/Atp5j2/Ndufa5/Ndufs6/Atp5h/Uqcrh/Cox7a2/Bax/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Atp5e/Atp5j/Park7/Cox5a/Hmgb1/Ldha",26
"GO:0019646","GO:0019646","aerobic electron transport chain","12/397","54/28814",8.07928045904358e-12,3.02157697560588e-09,2.50264274678781e-09,"Sdhd/Ndufc2/Sdhc/Ndufs6/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Park7/Cox5a",12
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","13/397","68/28814",8.38628080934187e-12,3.02157697560588e-09,2.50264274678781e-09,"Ndufa12/Sdhd/Ndufc2/Sdhc/Ndufs6/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Park7/Cox5a",13
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","13/397","70/28814",1.23780996729168e-11,4.05439028377448e-09,3.35807775815494e-09,"Ndufa12/Sdhd/Ndufc2/Sdhc/Ndufs6/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Park7/Cox5a",13
"GO:0022900","GO:0022900","electron transport chain","15/397","104/28814",1.47380414873652e-11,4.4250969565814e-09,3.66511821198951e-09,"Ndufa12/Sdhd/Ndufc2/Sdhc/Ndufa5/Fdx1/Ndufs6/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Park7/Cox5a",15
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","28/397","436/28814",2.00458139679582e-11,5.55577444050411e-09,4.60160992705761e-09,"Ndufa12/Chchd4/Gadd45gip1/Sdhd/Prdm16/Ndufc2/Bloc1s1/Sdhc/Atp5j2/Ndufa5/Fdx1/Ndufs6/Atp5h/Uqcrh/Cox7a2/Bax/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Ndufa4/Atp5e/Atp5j/Park7/Cox5a/Hmgb1/Ldha",28
"GO:0022904","GO:0022904","respiratory electron transport chain","14/397","94/28814",4.53985350921571e-11,1.16836372812173e-08,9.67705616438085e-09,"Ndufa12/Sdhd/Ndufc2/Sdhc/Ndufa5/Ndufs6/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Cox5b/Park7/Cox5a",14
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","8/397","22/28814",3.27011884822055e-10,7.85482547342576e-08,6.50581539277562e-08,"Atp5l/Atp5g3/Atp5j2/Atp5g1/Atp5h/Atp5g2/Atp5e/Atp5j",8
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","13/397","115/28814",7.28522246296449e-09,1.64054103337882e-06,1.35878984753318e-06,"Dut/Dtymk/Atp5l/Atp5g3/Ndufc2/Atp5j2/Atp5g1/Itpa/Atp5h/Atp5g2/Nme1/Atp5e/Atp5j",13
