"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","37/397","143/28739",1.86804957074282e-36,8.68643050395413e-34,6.03674966545313e-34,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Atp5l/Sdhd/Atp5g3/Ndufb10/Ndufc2/Ndufb7/Romo1/Dnajc19/Sdhc/Atp5j2/Atp5g1/Ndufa5/Ndufb11/Ndufs6/Atp5h/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Atp5g2/Ndufa8/Ndufa11/Timm23/Timm17b/Ndufa13/Ndufa6/Cox5b/Ndufa4/Atp5e/Atp5j/Ndufa2/Cox5a",37
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","39/397","286/28739",4.34423509320371e-27,1.01003465916986e-24,7.01936933480809e-25,"Ndufc1/Ndufa12/Tomm6/Ndufb4/Ndufs5/Atp5l/Sdhd/Atp5g3/Ndufb10/Ndufc2/Ndufb7/Romo1/Dnajc19/Sdhc/Atp5j2/Atp5g1/Ndufa5/Ndufb11/Ndufs6/Atp5h/Uqcrh/Cox7a2/Bax/Ndufs7/Ndufb9/Ndufb6/Atp5g2/Ndufa8/Ndufa11/Timm23/Timm17b/Ndufa13/Ndufa6/Cox5b/Ndufa4/Atp5e/Atp5j/Ndufa2/Cox5a",39
"GO:0070469","GO:0070469","respirasome","26/397","95/28739",1.22908664024664e-26,1.79866612553805e-24,1.2500067923943e-24,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Sdhd/Ndufb10/Ndufc2/Ndufb7/Sdhc/Ndufa5/Ndufb11/Ndufs6/Uqcrh/Cox7a2/Higd1a/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Cox5b/Ndufa4/Ndufa2/Cox5a",26
"GO:0005746","GO:0005746","mitochondrial respirasome","25/397","85/28739",1.5472396778822e-26,1.79866612553805e-24,1.2500067923943e-24,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Sdhd/Ndufb10/Ndufc2/Ndufb7/Sdhc/Ndufa5/Ndufb11/Ndufs6/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Cox5b/Ndufa4/Ndufa2/Cox5a",25
"GO:0098803","GO:0098803","respiratory chain complex","25/397","87/28739",2.98508200176676e-26,2.77612626164308e-24,1.92930563061557e-24,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Sdhd/Ndufb10/Ndufc2/Ndufb7/Sdhc/Ndufa5/Ndufb11/Ndufs6/Uqcrh/Cox7a2/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Cox5b/Ndufa4/Ndufa2/Cox5a",25
"GO:0005743","GO:0005743","mitochondrial inner membrane","45/397","460/28739",6.23196067766419e-25,4.82976952518975e-23,3.35651215446124e-23,"Rdh13/Letm2/Ndufc1/Ndufa12/Ndufb4/Ndufs5/Atp5l/Sdhd/Atp5g3/Ndufb10/Ndufc2/Ndufb7/Romo1/Dnajc19/Sdhc/Atp5j2/Atp5g1/Ndufa5/Fdx1/Ndufb11/Ndufs6/Atp5h/Uqcrh/Cox7a2/Gpx4/Higd1a/Ndufs7/Ndufb9/Ndufb6/Atp5g2/Ndufa8/Ndufa11/Vdac3/Timm23/Tmem11/Timm17b/Higd2a/Ndufa13/Ndufa6/Cox5b/Ndufa4/Atp5e/Atp5j/Ndufa2/Cox5a",45
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","19/397","50/28739",6.19672650926651e-23,3.2016420297877e-21,2.22502343666061e-21,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Ndufa4/Ndufa2",19
"GO:0030964","GO:0030964","NADH dehydrogenase complex","19/397","50/28739",6.19672650926651e-23,3.2016420297877e-21,2.22502343666061e-21,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Ndufa4/Ndufa2",19
"GO:0045271","GO:0045271","respiratory chain complex I","19/397","50/28739",6.19672650926651e-23,3.2016420297877e-21,2.22502343666061e-21,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Ndufb10/Ndufc2/Ndufb7/Ndufa5/Ndufb11/Ndufs6/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Ndufa4/Ndufa2",19
"GO:1990204","GO:1990204","oxidoreductase complex","24/397","121/28739",4.64664565244593e-21,2.16069022838736e-19,1.50160022663253e-19,"Ndufc1/Ndufa12/Ndufb4/Ndufs5/Sdhd/Ndufb10/Ndufc2/Ndufb7/Sdhc/Ndufa5/Ndufb11/Ndufs6/Cyba/Uqcrh/Ndufs7/Ndufb9/Ndufb6/Ndufa8/Ndufa11/Ndufa13/Ndufa6/Ndufa4/Ndufa2/Ldha",24
