"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015078","GO:0015078","proton transmembrane transporter activity","14/384","105/28275",1.71987673866843e-10,1.02332665950772e-07,8.07436868890653e-08,"Atp5l/Atp5g3/Atp6v1g1/Atp5j2/Atp5g1/Atp5h/Uqcrh/Cox7a2/Atp5g2/Atp6v0e/Atp5e/Atp5j/Cox5a/Atp6v0c",14
"GO:0009055","GO:0009055","electron transfer activity","11/384","70/28275",2.65554279648178e-09,7.9002398195333e-07,6.23353730121512e-07,"Ndufc2/Ndufb7/Sdhc/Fdx1/Cyba/Uqcrh/Cox7a2/Ndufs7/Ndufa13/Ndufa2/Cox5a",11
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","14/384","152/28275",2.29119232257636e-08,4.54419810644312e-06,3.58551500304933e-06,"Atp5l/Ndufc2/Ndufb7/Atp6v1g1/Uqcrh/Cox7a2/Ndufs7/Ndufa13/Atp6v0e/Atp5e/Ndufa2/Ralbp1/Cox5a/Atp6v0c",14
"GO:0140678","GO:0140678","molecular function inhibitor activity","9/384","61/28275",1.33158375874978e-07,1.9807308411403e-05,1.5628588326379e-05,"Atpif1/Commd1/Lyar/Smad7/Id2/Calm1/Calm2/Id1/Id3",9
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","8/384","50/28275",3.51115872120618e-07,4.17827887823535e-05,3.29679324138517e-05,"Ndufc2/Ndufb7/Uqcrh/Cox7a2/Ndufs7/Ndufa13/Ndufa2/Cox5a",8
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","5/384","15/28275",1.20856572976964e-06,0.000119849434868822,9.45649676275892e-05,"Atp5l/Atp5j2/Atp5h/Atp5e/Atp5j",5
"GO:0003712","GO:0003712","transcription coregulator activity","21/384","488/28275",4.05014107036205e-06,0.000332810392677926,0.000262597850746316,"Med30/Dyrk1a/Cir1/Mta1/Med31/Trim37/Prdm16/Med19/Gmnn/Ncoa1/Brd8/Mier1/Drap1/Med10/Park7/Hmgb2/Hsbp1/C1d/Sub1/Ncoa3/Hmgb1",21
"GO:0140416","GO:0140416","transcription regulator inhibitor activity","5/384","19/28275",4.47476158222422e-06,0.000332810392677926,0.000262597850746316,"Lyar/Smad7/Id2/Id1/Id3",5
"GO:0015252","GO:0015252","proton channel activity","5/384","21/28275",7.65758480035243e-06,0.000485898395420058,0.000383389092184601,"Atp5l/Atp5j2/Atp5h/Atp5e/Atp5j",5
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","5/384","22/28275",9.79963150427008e-06,0.000485898395420058,0.000383389092184601,"Ndufc2/Ndufb7/Ndufs7/Ndufa13/Ndufa2",5
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","5/384","22/28275",9.79963150427008e-06,0.000485898395420058,0.000383389092184601,"Atp5l/Atp6v1g1/Atp6v0e/Atp5e/Atp6v0c",5
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","5/384","22/28275",9.79963150427008e-06,0.000485898395420058,0.000383389092184601,"Ndufc2/Ndufb7/Ndufs7/Ndufa13/Ndufa2",5
"GO:0031386","GO:0031386","protein tag","4/384","12/28275",1.52089493739878e-05,0.000684850450575803,0.000540368511201784,"Nedd8/Uba52/Isg15/Ubb",4
"GO:0016209","GO:0016209","antioxidant activity","8/384","84/28275",1.90852622331688e-05,0.000684850450575803,0.000540368511201784,"Gpx4/Sod1/Gstp1/Park7/Txndc17/Apoe/Gsta4/Prdx1",8
"GO:0003954","GO:0003954","NADH dehydrogenase activity","5/384","25/28275",1.91193992562258e-05,0.000684850450575803,0.000540368511201784,"Ndufc2/Ndufb7/Ndufs7/Ndufa13/Ndufa2",5
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","5/384","25/28275",1.91193992562258e-05,0.000684850450575803,0.000540368511201784,"Ndufc2/Ndufb7/Ndufs7/Ndufa13/Ndufa2",5
"GO:0004518","GO:0004518","nuclease activity","12/384","199/28275",1.95671557307372e-05,0.000684850450575803,0.000540368511201784,"Zc3h12a/Ang/Wrn/Ercc1/Exosc3/Tsen15/Tsn/Rnaset2b/Rnasek/Nme1/Pan3/Pop5",12
"GO:0004298","GO:0004298","threonine-type endopeptidase activity","4/384","14/28275",3.01003706288112e-05,0.000994984473563482,0.000785073994178351,"Psmb3/Psmb9/Psmb6/Psmb2",4
"GO:0001540","GO:0001540","amyloid-beta binding","7/384","67/28275",3.4825822810532e-05,0.00109059813538245,0.000860516175817023,"Pfdn4/Pfdn1/Pfdn2/Tm2d1/Pfdn5/Apoe/Cst3",7
"GO:0005507","GO:0005507","copper ion binding","7/384","68/28275",3.83737740770369e-05,0.00114161977879185,0.000900773854650446,"Ang/P2rx4/Cutc/Commd1/Sod1/Mt1/Park7",7
"GO:0003713","GO:0003713","transcription coactivator activity","13/384","258/28275",5.81756280324537e-05,0.00164830946091952,0.00130056792493606,"Med30/Dyrk1a/Mta1/Trim37/Prdm16/Ncoa1/Brd8/Drap1/Park7/Hmgb2/Sub1/Ncoa3/Hmgb1",13
"GO:0003899","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","5/384","33/28275",7.81163793718656e-05,0.00211269298755728,0.00166698111004077,"Polr2i/Polr2f/Polr2k/Polr2g/Polr2j",5
"GO:0016811","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","7/384","78/28275",9.31152571703665e-05,0.00240885121810296,0.00190065925391229,"Wdyhv1/Hint2/Nit2/Mier1/Hint1/Pglyrp1/Acer2",7
"GO:0034062","GO:0034062","5'-3' RNA polymerase activity","5/384","35/28275",0.000104495156352877,0.00248698472119847,0.00196230904140561,"Polr2i/Polr2f/Polr2k/Polr2g/Polr2j",5
"GO:0097747","GO:0097747","RNA polymerase activity","5/384","35/28275",0.000104495156352877,0.00248698472119847,0.00196230904140561,"Polr2i/Polr2f/Polr2k/Polr2g/Polr2j",5
"GO:0070003","GO:0070003","threonine-type peptidase activity","4/384","19/28275",0.000110450281321868,0.00252761220717351,0.00199436540362563,"Psmb3/Psmb9/Psmb6/Psmb2",4
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","6/384","59/28275",0.000148154912944996,0.00326489530378788,0.0025761049190436,"Gpx4/Gstp1/Park7/Txndc17/Gsta4/Prdx1",6
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","5/384","40/28275",0.000200345249583131,0.00425733655364154,0.0033591722298525,"Ndufc2/Ndufb7/Ndufs7/Ndufa13/Ndufa2",5
