"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Wnt5a",3.85160701432839,-6.11233582050305,3.62654327830979,-1.68544405827464,0.0919029293293016,0.999266067363847
"2","Pcdhb20",3.60090985073203,-6.01209315485701,3.63207655662677,-1.65527710143881,0.097868301632043,0.999266067363847
"3","Slc12a7",2.89016196814992,-5.69377870230559,3.67742030589672,-1.54830784318444,0.121548197004161,0.999266067363847
"4","Tmem209",2.89870674614851,-5.18376987784024,3.42826354145771,-1.51206866542007,0.130516395242611,0.999266067363847
"5","Mamstr",2.59229436673208,-5.53533221341389,3.70925720210747,-1.49230207338248,0.135619973451141,0.999266067363847
"6","Myst2",2.46400160214894,-5.04226802881289,3.44324922963817,-1.46439240744207,0.143086761441848,0.999266067363847
"7","Lyn",2.43011124916417,-5.44919206322366,3.72241562450259,-1.46388598504548,0.143225103315031,0.999266067363847
"8","Lcn2",3.77279080503036,-5.55689596664769,3.81408959840466,-1.45693902129934,0.145133213420428,0.999266067363847
"9","Darc",2.76538991571765,-5.55712165598009,3.86845147633906,-1.43652355211629,0.150853419470226,0.999266067363847
"10","Tigd5",2.28117744845525,-5.35770957233405,3.73669330894532,-1.43381035834762,0.151626388211903,0.999266067363847
"11","D730039F16Rik",2.24725632749277,-5.33367981149645,3.73391790247285,-1.42844056854173,0.15316508932274,0.999266067363847
"12","Btbd7",2.09832252678385,-5.23407624132195,3.75260208678187,-1.39478583667541,0.163080431167678,0.999266067363847
"13","Gne",2.04020888956701,-4.78409845316348,3.48868306712208,-1.37131930906811,0.170275439009739,0.999266067363847
"14","Ccdc8",2.01723096799989,-5.18245954447034,3.78295819130626,-1.36994893477288,0.17070284269174,0.999266067363847
"15","Cse1l",2.01723096799989,-5.18245954447034,3.78295819130626,-1.36994893477288,0.17070284269174,0.999266067363847
"16","Ndst2",2.01723096799989,-5.18245954447034,3.78295819130626,-1.36994893477288,0.17070284269174,0.999266067363847
"17","Marveld2",1.98330984703741,-5.15506395563039,3.77255158139291,-1.36646612893415,0.17179270504557,0.999266067363847
"18","Pkn3",1.98330984703741,-5.15506395563039,3.77255158139291,-1.36646612893415,0.17179270504557,0.999266067363847
"19","Myst3",2.42889665447693,-4.67718580288796,3.46191389060503,-1.35104047953964,0.176682466085384,0.999266067363847
"20","Ace",2.30297154331284,-4.67715213914565,3.47242264898251,-1.34694206666235,0.177998891822867,0.999266067363847
"21","Sult1a1",2.26905042235036,-4.63483902816183,3.47166224394374,-1.33504894845322,0.181860326557814,0.999266067363847
"22","Epha4",1.90221828825345,-5.10063308537493,3.83552550650856,-1.32983943835586,0.183571178708352,0.999266067363847
"23","Tenc1",1.83437604632849,-5.04182399010343,3.79539008149941,-1.32840732621391,0.1840435805043,0.999266067363847
"24","4931402G19Rik",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"25","Bst1",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"26","Gldn",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"27","Lrat",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"28","Mir27b",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"29","Myo7b",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"30","Nkd2",2.63946480455356,-5.55840825804345,4.20396601710519,-1.32218201465646,0.18610754857426,0.999266067363847
"31","Ddx55",1.80045492536601,-5.01117801099797,3.8012092959526,-1.31831152163437,0.187399385580943,0.999266067363847
"32","Med26",1.80045492536601,-5.01117801099797,3.8012092959526,-1.31831152163437,0.187399385580943,0.999266067363847
"33","Fam160b1",1.84644153647796,-4.70585897363917,3.582008072065,-1.31374884672615,0.188930736981102,0.999266067363847
"34","Col4a1",1.765349977694,-4.63492636494582,3.52988545322641,-1.31305290960911,0.18916512009977,0.999266067363847
"35","Trim25",1.71936336658206,-4.95157154379551,3.82746919385483,-1.29369337622507,0.195771354201131,0.999266067363847
"36","Gimap8",1.75328448754454,-4.98329504921756,3.85770402229681,-1.29177744596657,0.196434228174563,0.999266067363847
"37","Nr6a1",1.75328448754454,-4.98329504921756,3.85770402229681,-1.29177744596657,0.196434228174563,0.999266067363847
"38","Clint1",1.73142885673153,-4.59134953585608,3.55816400142303,-1.29037040845218,0.196922081344375,0.999266067363847
"39","Mynn",1.68544224561958,-4.91880750994262,3.8227417489945,-1.28672241885982,0.198191056109225,0.999266067363847
"40","Zfp498",2.3755183240982,-5.40574889512146,4.22635841782719,-1.27905595330474,0.200877352912167,0.999266067363847
"41","C78339",2.23400701063377,-5.33224962928887,4.21318133355698,-1.26561123463136,0.205652301878537,0.999266067363847
"42","Myo1b",1.52441218678348,-4.51599800286197,3.57762719204133,-1.2622885953316,0.206844958966868,0.999266067363847
"43","Ctnnd1",1.74234128814918,-4.46801885511271,3.54300142010173,-1.26108299865836,0.207278945301209,0.999266067363847
"44","Atxn2l",1.43240819658187,-4.56146259762361,3.62808613839135,-1.25726413972247,0.208658004648822,0.999266067363847
"45","Net1",3.0129622722164,-4.23912860155077,3.3761190042044,-1.25562179421746,0.209253125759877,0.999266067363847
"46","Hif1a",1.39848707561939,-4.51593240905328,3.6062958165273,-1.25223571187844,0.210483986683963,0.999266067363847
"47","Uhrf1bp1",1.60435068683562,-4.8554894079904,3.88421715460179,-1.25005611548723,0.211279049167806,0.999266067363847
"48","Zhx3",1.60435068683562,-4.8554894079904,3.88421715460179,-1.25005611548723,0.211279049167806,0.999266067363847
"49","Dedd2",1.490491065821,-4.46816512171239,3.58738223417551,-1.24552245343304,0.212939767250143,0.999266067363847
"50","Ccni",1.53650844491066,-4.78414806972524,3.85604254683891,-1.24068861056711,0.214720803347547,0.999266067363847
"51","Sip1",2.26971759293805,4.36851164141174,3.52663178843931,1.23872065570673,0.215448966465214,0.999266067363847
"52","Fyco1",1.36456595465691,-4.46825723517737,3.61721733937416,-1.23527474739753,0.216728268677581,0.999266067363847
"53","BC028528",2.10654730338954,4.09009581097886,3.31343451401953,1.23439766009353,0.217054760523768,0.999266067363847
"54","Adat1",2.11157184364285,-5.23502723836903,4.25479470201994,-1.23038303960559,0.218553701477528,0.999266067363847
"55","Best1",2.11157184364285,-5.23502723836903,4.25479470201994,-1.23038303960559,0.218553701477528,0.999266067363847
"56","Cfb",2.11157184364285,-5.23502723836903,4.25479470201994,-1.23038303960559,0.218553701477528,0.999266067363847
"57","Olfr1015",2.11157184364285,-5.23502723836903,4.25479470201994,-1.23038303960559,0.218553701477528,0.999266067363847
"58","Serpina3g",2.11157184364285,-5.23502723836903,4.25479470201994,-1.23038303960559,0.218553701477528,0.999266067363847
"59","Zfp472",2.94972212593125,4.75062707758161,3.87596762389854,1.22566221871671,0.220325813435451,0.999266067363847
"60","Klf12",1.50258732394818,-4.7467111009797,3.8748030267678,-1.22501997345119,0.220567695076356,0.999266067363847
"61","Setd5",1.50258732394818,-4.7467111009797,3.8748030267678,-1.22501997345119,0.220567695076356,0.999266067363847
"62","Cecr2",1.99303845174553,-4.75324040366423,3.8966903751522,-1.2198147520198,0.222535107805771,0.999266067363847
"63","Il15",1.83552910506031,-4.81542605741248,3.95007334802124,-1.21907256730428,0.222816650863458,0.999266067363847
"64","Trim12c",1.93613940921593,-5.12680885553827,4.25031814324297,-1.20621767189092,0.227733571750799,0.999266067363847
"65","F5",3.49015612022117,-4.05859460874954,3.3697779796596,-1.20441009266715,0.228431113045099,0.999266067363847
"66","Kifc3",2.16751969307451,4.01887242408246,3.33830432396309,1.20386640463965,0.228641218547185,0.999266067363847
"67","Baz1a",1.42149576516422,-4.67603888819629,3.89240885492515,-1.20132264170543,0.22962607087405,0.999266067363847
